   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;3 [   
                3 [A99765]      A99763]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       810.34314       944.04431 
         2.0000       875.52612      1023.79083 
         3.0000       896.26611      1059.67664 
         4.0000       896.26617      1059.67676 
         5.0000       986.63348      1149.42126 
         6.0000      1051.81641      1225.35901 
         7.0000      1079.96362      1268.50549 
         8.0000      1148.10950      1337.53979 
         9.0000      1216.25537      1423.45044 
        10.0000      1221.36633      1428.71021 
        11.0000      1250.32837      1477.33435 
        12.0000      1250.32849      1477.33459 
        13.0000      1270.92102      1497.15234 
        14.0000      1271.09412      1497.30481 
        15.0000      1271.26331      1497.45715 
        16.0000      1271.44519      1497.60962 
        17.0000      1271.63806      1497.76196 
        18.0000      1271.84094      1497.91443 
        19.0000      1272.05359      1498.06677 
        20.0000      1272.26892      1498.21924 
        21.0000      1272.48657      1498.37158 
        22.0000      1272.70679      1498.52405 
        23.0000      1272.92688      1498.67639 
        24.0000      1273.14624      1498.82886 
        25.0000      1273.36499      1498.98120 
        26.0000      1273.58411      1499.13354 
        27.0000      1273.80334      1499.28601 
        28.0000      1274.02148      1499.43835 
        29.0000      1274.23657      1499.59082 
        30.0000      1274.44824      1499.74316 
        31.0000      1274.65515      1499.89563 
        32.0000      1274.85168      1500.04797 
        33.0000      1275.04224      1500.20044 
        34.0000      1275.22852      1500.35278 
        35.0000      1275.41089      1500.50525 
        36.0000      1275.59253      1500.65759 
        37.0000      1275.77478      1500.81006 
        38.0000      1275.95837      1500.96240 
        39.0000      1276.14307      1501.11475 
        40.0000      1276.32886      1501.26721 
        41.0000      1276.51587      1501.41956 
        42.0000      1276.70374      1501.57202 
        43.0000      1276.89160      1501.72437 
        44.0000      1277.07861      1501.87683 
        45.0000      1277.26367      1502.02917 
        46.0000      1277.44751      1502.18164 
        47.0000      1277.63110      1502.33398 
        48.0000      1277.81555      1502.48645 
        49.0000      1278.00122      1502.63879 
        50.0000      1278.18787      1502.79126 
        51.0000      1278.37427      1502.94360 
        52.0000      1278.56006      1503.09595 
        53.0000      1278.74438      1503.24841 
        54.0000      1278.92712      1503.40076 
        55.0000      1279.10681      1503.55322 
