   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                4 [A99583]      A99581]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       807.91992       845.51434 
         2.0000       984.02484      1059.17920 
         3.0000      1035.00256      1116.68005 
         4.0000      1133.73511      1231.61096 
         5.0000      1151.52417      1257.84058 
         6.0000      1168.98071      1285.86877 
         7.0000      1203.50830      1314.80957 
         8.0000      1214.27124      1328.45239 
         9.0000      1214.31543      1328.60486 
        10.0000      1214.35864      1328.75720 
        11.0000      1214.40149      1328.90967 
        12.0000      1214.44434      1329.06201 
        13.0000      1214.48779      1329.21448 
        14.0000      1214.53296      1329.36682 
        15.0000      1214.57996      1329.51929 
        16.0000      1214.62903      1329.67163 
        17.0000      1214.67908      1329.82410 
        18.0000      1214.72925      1329.97644 
        19.0000      1214.77893      1330.12891 
        20.0000      1214.82800      1330.28125 
        21.0000      1214.87671      1330.43359 
        22.0000      1214.92517      1330.58606 
        23.0000      1214.97339      1330.73840 
        24.0000      1215.02161      1330.89087 
        25.0000      1215.06995      1331.04321 
        26.0000      1215.11816      1331.19568 
        27.0000      1215.16650      1331.34802 
        28.0000      1215.21472      1331.50049 
        29.0000      1215.26294      1331.65283 
        30.0000      1215.31091      1331.80530 
        31.0000      1215.35876      1331.95764 
        32.0000      1215.40637      1332.11011 
        33.0000      1215.45386      1332.26245 
        34.0000      1215.50134      1332.41479 
        35.0000      1215.54871      1332.56726 
        36.0000      1215.59619      1332.71960 
        37.0000      1215.64368      1332.87207 
        38.0000      1215.69116      1333.02441 
        39.0000      1215.73877      1333.17688 
        40.0000      1215.78613      1333.32922 
        41.0000      1215.83337      1333.48169 
        42.0000      1215.88074      1333.63403 
        43.0000      1215.92786      1333.78650 
        44.0000      1215.97510      1333.93884 
        45.0000      1216.02222      1334.09131 
        46.0000      1216.06946      1334.24365 
        47.0000      1216.11682      1334.39600 
        48.0000      1216.16406      1334.54846 
        49.0000      1216.21155      1334.70081 
        50.0000      1216.25903      1334.85327 
        51.0000      1216.30652      1335.00562 
        52.0000      1216.35413      1335.15808 
        53.0000      1216.40186      1335.31042 
        54.0000      1216.44946      1335.46289 
