   PrimaryIndex TVD@UNKNOWN;4 [ TWOTIM@UNKNOWN;   
                A108108]        4 [A108110]       
       Unitless               m              ms   
       166.0000      2318.74512      1881.47546 
       167.0000      2318.89771      1881.52747 
       168.0000      2319.05005      1881.57910 
       169.0000      2319.20239      1881.63123 
       170.0000      2319.35474      1881.68311 
       171.0000      2319.50708      1881.73474 
       172.0000      2319.65967      1881.78650 
       173.0000      2319.81201      1881.83850 
       174.0000      2319.96436      1881.89062 
       175.0000      2320.11670      1881.94373 
       176.0000      2320.26929      1881.99658 
       177.0000      2320.42163      1882.04932 
       178.0000      2320.57397      1882.10193 
       179.0000      2320.72632      1882.15405 
       180.0000      2320.87891      1882.20654 
       181.0000      2321.03125      1882.25891 
       182.0000      2321.18359      1882.31104 
       183.0000      2321.33594      1882.36304 
       184.0000      2321.48828      1882.41504 
       185.0000      2321.64087      1882.46643 
       186.0000      2321.79321      1882.51758 
       187.0000      2321.94556      1882.56860 
       188.0000      2322.09790      1882.61975 
       189.0000      2322.25049      1882.67151 
       190.0000      2322.40283      1882.72327 
       191.0000      2322.55518      1882.77551 
       192.0000      2322.70752      1882.82825 
       193.0000      2322.86011      1882.88074 
       194.0000      2323.01245      1882.93396 
       195.0000      2323.16479      1882.98694 
       196.0000      2323.31714      1883.03931 
       197.0000      2323.46948      1883.09106 
       198.0000      2323.62207      1883.14282 
       199.0000      2323.77441      1883.19373 
       200.0000      2323.92676      1883.24524 
       201.0000      2324.07910      1883.29614 
       202.0000      2324.23169      1883.34741 
       203.0000      2324.38403      1883.39832 
       204.0000      2324.53638      1883.44983 
       205.0000      2324.68872      1883.50073 
       206.0000      2324.84131      1883.55200 
       207.0000      2324.99365      1883.60291 
       208.0000      2325.14600      1883.65405 
       209.0000      2325.29834      1883.70496 
       210.0000      2325.45068      1883.75610 
       211.0000      2325.60327      1883.80737 
       212.0000      2325.75562      1883.85876 
       213.0000      2325.90796      1883.91028 
       214.0000      2326.06030      1883.96155 
       215.0000      2326.21289      1884.01282 
       216.0000      2326.36523      1884.06348 
       217.0000      2326.51758      1884.11426 
       218.0000      2326.66992      1884.16553 
       219.0000      2326.82251      1884.21704 
       220.0000      2326.97485      1884.26953 
       221.0000      2327.12720      1884.32251 
       222.0000      2327.27954      1884.37573 
       223.0000      2327.43188      1884.42920 
       224.0000      2327.58447      1884.48206 
       225.0000      2327.73682      1884.53491 
       226.0000      2327.88916      1884.58740 
       227.0000      2328.04150      1884.63989 
       228.0000      2328.19409      1884.69263 
       229.0000      2328.34644      1884.74597 
       230.0000      2328.49878      1884.79956 
       231.0000      2328.65112      1884.85315 
       232.0000      2328.80371      1884.90613 
       233.0000      2328.95605      1884.95825 
       234.0000      2329.10840      1885.01123 
       235.0000      2329.26074      1885.06482 
       236.0000      2329.41309      1885.12085 
