   PrimaryIndex TVD@UNKNOWN;3 [ TWOTIM@UNKNOWN;   
                A100996]        3 [A100998]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000      1001.12939       906.40765 
         2.0000      1001.28180       906.56152 
         3.0000      1001.43420       906.71509 
         4.0000      1001.58661       906.86774 
         5.0000      1001.73901       907.01959 
         6.0000      1001.89142       907.17065 
         7.0000      1002.04376       907.32098 
         8.0000      1002.19617       907.46991 
         9.0000      1002.34857       907.61737 
        10.0000      1002.50098       907.76288 
        11.0000      1002.65338       907.90613 
        12.0000      1002.80579       908.04639 
        13.0000      1002.95819       908.18262 
        14.0000      1003.11060       908.31506 
        15.0000      1003.26300       908.44580 
        16.0000      1003.41541       908.57928 
        17.0000      1003.56781       908.71906 
        18.0000      1003.72021       908.86664 
        19.0000      1003.87262       909.02075 
        20.0000      1004.02496       909.17896 
        21.0000      1004.17737       909.33893 
        22.0000      1004.32977       909.49963 
        23.0000      1004.48218       909.66095 
        24.0000      1004.63458       909.82245 
        25.0000      1004.78699       909.98352 
        26.0000      1004.93939       910.14392 
        27.0000      1005.09180       910.30322 
        28.0000      1005.24420       910.46191 
        29.0000      1005.39661       910.61993 
        30.0000      1005.54901       910.77808 
        31.0000      1005.70142       910.93610 
        32.0000      1005.85376       911.09375 
        33.0000      1006.00616       911.25110 
        34.0000      1006.15857       911.40802 
        35.0000      1006.31097       911.56451 
        36.0000      1006.46338       911.72076 
        37.0000      1006.61578       911.87628 
        38.0000      1006.76819       912.03113 
        39.0000      1006.92059       912.18506 
        40.0000      1007.07300       912.33838 
        41.0000      1007.22540       912.49164 
        42.0000      1007.37781       912.64526 
        43.0000      1007.53021       912.79950 
        44.0000      1007.68262       912.95435 
        45.0000      1007.83496       913.10956 
        46.0000      1007.98737       913.26477 
        47.0000      1008.13977       913.41998 
        48.0000      1008.29218       913.57477 
        49.0000      1008.44458       913.72858 
        50.0000      1008.59698       913.87958 
        51.0000      1008.74939       914.02545 
        52.0000      1008.90179       914.16364 
        53.0000      1009.05420       914.29395 
        54.0000      1009.20660       914.41833 
        55.0000      1009.35901       914.54138 
        56.0000      1009.51141       914.66901 
        57.0000      1009.66382       914.80554 
        58.0000      1009.81616       914.95270 
        59.0000      1009.96857       915.10864 
        60.0000      1010.12097       915.27063 
        61.0000      1010.27338       915.43488 
        62.0000      1010.42578       915.59955 
        63.0000      1010.57819       915.76337 
        64.0000      1010.73059       915.92633 
        65.0000      1010.88300       916.08881 
        66.0000      1011.03540       916.25073 
        67.0000      1011.18781       916.41217 
        68.0000      1011.34021       916.57355 
        69.0000      1011.49261       916.73450 
        70.0000      1011.64502       916.89490 
        71.0000      1011.79736       917.05450 
        72.0000      1011.94977       917.21320 
        73.0000      1012.10217       917.37073 
        74.0000      1012.25458       917.52704 
        75.0000      1012.40698       917.68231 
        76.0000      1012.55939       917.83618 
        77.0000      1012.71179       917.98798 
        78.0000      1012.86420       918.13733 
        79.0000      1013.01660       918.28387 
        80.0000      1013.16901       918.42786 
        81.0000      1013.32141       918.56848 
        82.0000      1013.47382       918.70465 
        83.0000      1013.62616       918.83478 
        84.0000      1013.77856       918.95850 
        85.0000      1013.93097       919.07715 
        86.0000      1014.08337       919.19312 
        87.0000      1014.23578       919.30896 
        88.0000      1014.38818       919.42664 
        89.0000      1014.54059       919.54645 
        90.0000      1014.69299       919.66772 
        91.0000      1014.84540       919.78973 
        92.0000      1014.99780       919.91180 
        93.0000      1015.15021       920.03430 
        94.0000      1015.30261       920.15674 
        95.0000      1015.45502       920.27917 
        96.0000      1015.60736       920.40131 
        97.0000      1015.75977       920.52252 
        98.0000      1015.91217       920.64252 
        99.0000      1016.06458       920.76129 
       100.0000      1016.21698       920.87903 
       101.0000      1016.36938       920.99640 
       102.0000      1016.52179       921.11420 
       103.0000      1016.67419       921.23364 
       104.0000      1016.82660       921.35693 
       105.0000      1016.97900       921.48596 
       106.0000      1017.13141       921.62207 
       107.0000      1017.28381       921.76514 
       108.0000      1017.43622       921.91406 
       109.0000      1017.58856       922.06757 
       110.0000      1017.74097       922.22412 
       111.0000      1017.89337       922.38281 
       112.0000      1018.04578       922.54254 
       113.0000      1018.19818       922.70270 
       114.0000      1018.35059       922.86267 
       115.0000      1018.50299       923.02234 
       116.0000      1018.65540       923.18152 
       117.0000      1018.80780       923.34027 
       118.0000      1018.96021       923.49878 
       119.0000      1019.11261       923.65692 
       120.0000      1019.26501       923.81445 
       121.0000      1019.41742       923.97144 
       122.0000      1019.56976       924.12787 
       123.0000      1019.72217       924.28400 
       124.0000      1019.87457       924.44000 
       125.0000      1020.02698       924.59589 
       126.0000      1020.17938       924.75085 
       127.0000      1020.33179       924.90375 
       128.0000      1020.48419       925.05402 
       129.0000      1020.63660       925.20178 
       130.0000      1020.78900       925.34814 
       131.0000      1020.94141       925.49487 
       132.0000      1021.09381       925.64319 
       133.0000      1021.24622       925.79413 
       134.0000      1021.39856       925.94678 
       135.0000      1021.55096       926.10077 
       136.0000      1021.70337       926.25568 
       137.0000      1021.85577       926.41095 
