   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                4 [A107549]     A107547]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       799.76654       821.54242 
         2.0000       799.89075       821.69482 
         3.0000       800.01788       821.84723 
         4.0000       800.15070       821.99963 
         5.0000       800.28369       822.15204 
         6.0000       800.41193       822.30444 
         7.0000       800.53882       822.45679 
         8.0000       800.66992       822.60919 
         9.0000       800.80835       822.76160 
        10.0000       800.95312       822.91400 
        11.0000       801.10358       823.06641 
        12.0000       801.25977       823.21881 
        13.0000       801.42072       823.37122 
        14.0000       801.58490       823.52362 
        15.0000       801.74847       823.67603 
        16.0000       801.90192       823.82843 
        17.0000       802.03894       823.98083 
        18.0000       802.16290       824.13324 
        19.0000       802.28033       824.28564 
        20.0000       802.40021       824.43799 
        21.0000       802.52942       824.59039 
        22.0000       802.66858       824.74280 
        23.0000       802.81561       824.89520 
        24.0000       802.96991       825.04761 
        25.0000       803.12994       825.20001 
        26.0000       803.29102       825.35242 
        27.0000       803.45087       825.50482 
        28.0000       803.60840       825.65723 
        29.0000       803.75909       825.80963 
        30.0000       803.90149       825.96204 
        31.0000       804.03931       826.11444 
        32.0000       804.17560       826.26678 
        33.0000       804.31647       826.41919 
        34.0000       804.46368       826.57159 
        35.0000       804.61139       826.72400 
        36.0000       804.75891       826.87640 
        37.0000       804.90704       827.02881 
        38.0000       805.05347       827.18121 
        39.0000       805.19611       827.33362 
        40.0000       805.33325       827.48602 
        41.0000       805.46588       827.63843 
        42.0000       805.59631       827.79083 
        43.0000       805.72766       827.94324 
        44.0000       805.86115       828.09564 
        45.0000       805.99670       828.24799 
        46.0000       806.13568       828.40039 
        47.0000       806.28003       828.55280 
        48.0000       806.42944       828.70520 
        49.0000       806.58105       828.85760 
        50.0000       806.73431       829.01001 
        51.0000       806.88849       829.16241 
        52.0000       807.03931       829.31482 
        53.0000       807.18311       829.46722 
        54.0000       807.31885       829.61963 
        55.0000       807.44623       829.77203 
        56.0000       807.56848       829.92444 
        57.0000       807.69055       830.07684 
        58.0000       807.81464       830.22919 
        59.0000       807.94135       830.38159 
        60.0000       808.07117       830.53400 
        61.0000       808.20319       830.68640 
