   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A107629]        2 [A107631]       
       Unitless               m              ms   
       184.0000       818.04163       729.33582 
       185.0000       818.19403       729.50055 
       186.0000       818.34637       729.66376 
       187.0000       818.49878       729.82526 
       188.0000       818.65118       729.98553 
       189.0000       818.80359       730.14551 
       190.0000       818.95599       730.30640 
       191.0000       819.10840       730.46814 
       192.0000       819.26080       730.62994 
       193.0000       819.41321       730.78943 
       194.0000       819.56561       730.94647 
       195.0000       819.71802       731.10156 
       196.0000       819.87042       731.25690 
       197.0000       820.02283       731.41455 
       198.0000       820.17517       731.57568 
       199.0000       820.32758       731.74084 
       200.0000       820.47998       731.90778 
       201.0000       820.63239       732.07477 
       202.0000       820.78479       732.24121 
       203.0000       820.93719       732.40839 
       204.0000       821.08960       732.57556 
       205.0000       821.24200       732.74207 
       206.0000       821.39441       732.90747 
       207.0000       821.54681       733.07031 
       208.0000       821.69922       733.22827 
       209.0000       821.85162       733.38232 
       210.0000       822.00403       733.53424 
       211.0000       822.15637       733.68378 
       212.0000       822.30878       733.83020 
       213.0000       822.46118       733.97302 
       214.0000       822.61359       734.10919 
       215.0000       822.76599       734.23633 
       216.0000       822.91840       734.35785 
       217.0000       823.07080       734.47638 
       218.0000       823.22321       734.59674 
       219.0000       823.37561       734.72235 
       220.0000       823.52802       734.85425 
       221.0000       823.68042       734.99213 
       222.0000       823.83282       735.13068 
       223.0000       823.98523       735.26624 
       224.0000       824.13757       735.39569 
       225.0000       824.28998       735.51953 
       226.0000       824.44238       735.64185 
       227.0000       824.59479       735.76581 
       228.0000       824.74719       735.89490 
       229.0000       824.89960       736.02899 
       230.0000       825.05200       736.16852 
       231.0000       825.20441       736.31653 
       232.0000       825.35681       736.47180 
       233.0000       825.50922       736.63226 
       234.0000       825.66162       736.79810 
       235.0000       825.81403       736.96722 
       236.0000       825.96643       737.13733 
       237.0000       826.11877       737.30634 
       238.0000       826.27118       737.47198 
       239.0000       826.42358       737.63483 
       240.0000       826.57599       737.79553 
       241.0000       826.72839       737.95502 
       242.0000       826.88080       738.11456 
       243.0000       827.03320       738.27411 
       244.0000       827.18561       738.43359 
       245.0000       827.33801       738.59265 
       246.0000       827.49042       738.75104 
       247.0000       827.64282       738.90833 
       248.0000       827.79523       739.06421 
       249.0000       827.94757       739.21942 
       250.0000       828.09998       739.37469 
       251.0000       828.25238       739.53119 
       252.0000       828.40479       739.68958 
       253.0000       828.55719       739.85059 
       254.0000       828.70959       740.01550 
       255.0000       828.86200       740.18268 
       256.0000       829.01440       740.34558 
       257.0000       829.16681       740.50647 
       258.0000       829.31921       740.66742 
       259.0000       829.47162       740.83063 
       260.0000       829.62402       740.99670 
       261.0000       829.77643       741.16516 
       262.0000       829.92877       741.33508 
       263.0000       830.08118       741.50366 
       264.0000       830.23358       741.66815 
       265.0000       830.38599       741.82227 
       266.0000       830.53839       741.96307 
       267.0000       830.69080       742.09674 
       268.0000       830.84320       742.22583 
       269.0000       830.99561       742.35291 
       270.0000       831.14801       742.47919 
       271.0000       831.30042       742.60431 
       272.0000       831.45282       742.72681 
       273.0000       831.60522       742.84698 
       274.0000       831.75763       742.96576 
       275.0000       831.90997       743.08466 
       276.0000       832.06238       743.20660 
       277.0000       832.21478       743.33289 
       278.0000       832.36719       743.46613 
       279.0000       832.51959       743.60687 
       280.0000       832.67200       743.75000 
       281.0000       832.82440       743.89240 
       282.0000       832.97681       744.03131 
       283.0000       833.12921       744.16748 
       284.0000       833.28162       744.30273 
       285.0000       833.43402       744.44006 
       286.0000       833.58643       744.58130 
       287.0000       833.73883       744.72601 
       288.0000       833.89117       744.87384 
       289.0000       834.04358       745.02185 
       290.0000       834.19598       745.16882 
       291.0000       834.34839       745.31482 
       292.0000       834.50079       745.46069 
       293.0000       834.65320       745.60620 
       294.0000       834.80560       745.75000 
       295.0000       834.95801       745.88947 
       296.0000       835.11041       746.02423 
       297.0000       835.26282       746.15533 
       298.0000       835.41522       746.28369 
       299.0000       835.56763       746.41290 
       300.0000       835.71997       746.54388 
       301.0000       835.87238       746.67499 
       302.0000       836.02478       746.80145 
       303.0000       836.17719       746.92114 
       304.0000       836.32959       747.03357 
       305.0000       836.48199       747.14233 
       306.0000       836.63440       747.25427 
       307.0000       836.78680       747.37366 
       308.0000       836.93921       747.50488 
       309.0000       837.09161       747.64349 
       310.0000       837.24402       747.78448 
       311.0000       837.39642       747.92566 
       312.0000       837.54883       748.06592 
       313.0000       837.70117       748.20630 
       314.0000       837.85358       748.34729 
       315.0000       838.00598       748.48889 
       316.0000       838.15839       748.63037 
       317.0000       838.31079       748.77057 
       318.0000       838.46320       748.90698 
       319.0000       838.61560       749.03876 
       320.0000       838.76801       749.16608 
       321.0000       838.92041       749.28882 
       322.0000       839.07281       749.41046 
       323.0000       839.22522       749.53375 
       324.0000       839.37762       749.66095 
       325.0000       839.53003       749.79187 
       326.0000       839.68237       749.92310 
       327.0000       839.83478       750.05249 
