   PrimaryIndex TVD@UNKNOWN;3 [ TWOTIM@UNKNOWN;   
                A100276]        3 [A100278]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       782.02740       751.47736 
         2.0000       782.17981       751.62231 
         3.0000       782.33221       751.76807 
         4.0000       782.48462       751.91534 
         5.0000       782.63702       752.06396 
         6.0000       782.78943       752.21332 
         7.0000       782.94177       752.36346 
         8.0000       783.09418       752.51428 
         9.0000       783.24658       752.66504 
        10.0000       783.39899       752.81433 
        11.0000       783.55139       752.96088 
        12.0000       783.70380       753.10461 
        13.0000       783.85620       753.24695 
        14.0000       784.00861       753.38916 
        15.0000       784.16101       753.53223 
        16.0000       784.31342       753.67651 
        17.0000       784.46582       753.82135 
        18.0000       784.61823       753.96594 
        19.0000       784.77063       754.10913 
        20.0000       784.92297       754.24945 
        21.0000       785.07538       754.38641 
        22.0000       785.22778       754.52014 
        23.0000       785.38019       754.65143 
        24.0000       785.53259       754.78241 
        25.0000       785.68500       754.91479 
        26.0000       785.83740       755.04938 
        27.0000       785.98981       755.18652 
        28.0000       786.14221       755.32550 
        29.0000       786.29462       755.46582 
        30.0000       786.44702       755.60681 
        31.0000       786.59943       755.74829 
        32.0000       786.75177       755.89038 
        33.0000       786.90417       756.03363 
        34.0000       787.05658       756.17761 
        35.0000       787.20898       756.31921 
        36.0000       787.36139       756.45612 
        37.0000       787.51379       756.58813 
        38.0000       787.66620       756.71667 
        39.0000       787.81860       756.84302 
        40.0000       787.97101       756.96674 
        41.0000       788.12341       757.08728 
        42.0000       788.27582       757.20538 
        43.0000       788.42822       757.32233 
        44.0000       788.58063       757.44025 
        45.0000       788.73297       757.56000 
        46.0000       788.88538       757.68146 
        47.0000       789.03778       757.80664 
        48.0000       789.19019       757.93927 
        49.0000       789.34259       758.07953 
        50.0000       789.49500       758.22571 
        51.0000       789.64740       758.37463 
        52.0000       789.79980       758.52197 
        53.0000       789.95221       758.66486 
        54.0000       790.10461       758.80170 
        55.0000       790.25702       758.93420 
        56.0000       790.40942       759.06433 
        57.0000       790.56183       759.18896 
        58.0000       790.71417       759.30994 
        59.0000       790.86658       759.43134 
        60.0000       791.01898       759.55518 
        61.0000       791.17139       759.68237 
        62.0000       791.32379       759.81305 
        63.0000       791.47620       759.94476 
        64.0000       791.62860       760.07654 
        65.0000       791.78101       760.21002 
        66.0000       791.93341       760.34540 
        67.0000       792.08582       760.48145 
        68.0000       792.23822       760.61597 
        69.0000       792.39062       760.74683 
        70.0000       792.54303       760.87244 
        71.0000       792.69537       760.99316 
        72.0000       792.84778       761.11108 
        73.0000       793.00018       761.22864 
        74.0000       793.15259       761.34802 
        75.0000       793.30499       761.46942 
        76.0000       793.45740       761.59180 
        77.0000       793.60980       761.71436 
        78.0000       793.76221       761.83575 
        79.0000       793.91461       761.95660 
        80.0000       794.06702       762.07849 
        81.0000       794.21942       762.20111 
        82.0000       794.37183       762.32471 
        83.0000       794.52417       762.44928 
        84.0000       794.67657       762.57477 
        85.0000       794.82898       762.70105 
        86.0000       794.98138       762.82776 
        87.0000       795.13379       762.95380 
        88.0000       795.28619       763.07697 
        89.0000       795.43860       763.19751 
        90.0000       795.59100       763.31628 
        91.0000       795.74341       763.43408 
        92.0000       795.89581       763.55170 
        93.0000       796.04822       763.67029 
        94.0000       796.20062       763.78949 
        95.0000       796.35303       763.90961 
        96.0000       796.50537       764.02972 
        97.0000       796.65778       764.14673 
        98.0000       796.81018       764.26141 
        99.0000       796.96259       764.37653 
       100.0000       797.11499       764.49530 
       101.0000       797.26740       764.61938 
       102.0000       797.41980       764.74719 
       103.0000       797.57220       764.87506 
       104.0000       797.72461       765.00000 
       105.0000       797.87701       765.12219 
       106.0000       798.02942       765.24225 
       107.0000       798.18182       765.36151 
       108.0000       798.33423       765.48248 
       109.0000       798.48657       765.60559 
       110.0000       798.63898       765.72882 
       111.0000       798.79138       765.85150 
       112.0000       798.94379       765.97260 
       113.0000       799.09619       766.09241 
       114.0000       799.24860       766.21301 
       115.0000       799.40100       766.33539 
       116.0000       799.55341       766.45905 
       117.0000       799.70581       766.58429 
       118.0000       799.85822       766.71088 
       119.0000       800.01062       766.83765 
       120.0000       800.16302       766.96375 
       121.0000       800.31543       767.08893 
       122.0000       800.46777       767.21368 
       123.0000       800.62018       767.33795 
       124.0000       800.77258       767.46088 
       125.0000       800.92499       767.58203 
       126.0000       801.07739       767.70166 
       127.0000       801.22980       767.82043 
       128.0000       801.38220       767.93982 
       129.0000       801.53461       768.06012 
       130.0000       801.68701       768.18225 
       131.0000       801.83942       768.30658 
       132.0000       801.99182       768.43188 
       133.0000       802.14423       768.55774 
       134.0000       802.29657       768.68292 
       135.0000       802.44897       768.80615 
       136.0000       802.60138       768.92828 
       137.0000       802.75378       769.04901 
       138.0000       802.90619       769.16559 
       139.0000       803.05859       769.27649 
       140.0000       803.21100       769.38269 
       141.0000       803.36340       769.48566 
       142.0000       803.51581       769.58667 
       143.0000       803.66821       769.68805 
       144.0000       803.82062       769.78784 
       145.0000       803.97302       769.88470 
