   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;3 [   
                3 [A106708]     A106706]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000      1056.06726      1141.42737 
         2.0000      1056.22693      1141.57983 
         3.0000      1056.38489      1141.73218 
         4.0000      1056.54041      1141.88464 
         5.0000      1056.69250      1142.03699 
         6.0000      1056.84045      1142.18945 
         7.0000      1056.98291      1142.34180 
         8.0000      1057.12134      1142.49426 
         9.0000      1057.25867      1142.64661 
        10.0000      1057.39783      1142.79907 
        11.0000      1057.54028      1142.95142 
        12.0000      1057.68396      1143.10388 
        13.0000      1057.82593      1143.25623 
        14.0000      1057.96252      1143.40857 
        15.0000      1058.09216      1143.56104 
        16.0000      1058.21497      1143.71338 
        17.0000      1058.33435      1143.86584 
        18.0000      1058.45447      1144.01819 
        19.0000      1058.57861      1144.17065 
        20.0000      1058.70740      1144.32300 
        21.0000      1058.83740      1144.47546 
        22.0000      1058.96655      1144.62781 
        23.0000      1059.09351      1144.78027 
        24.0000      1059.21924      1144.93262 
        25.0000      1059.34485      1145.08508 
        26.0000      1059.47021      1145.23743 
        27.0000      1059.59277      1145.38977 
        28.0000      1059.71045      1145.54224 
        29.0000      1059.82336      1145.69458 
        30.0000      1059.93335      1145.84705 
        31.0000      1060.04285      1145.99939 
        32.0000      1060.15576      1146.15186 
        33.0000      1060.27429      1146.30420 
        34.0000      1060.40198      1146.45667 
        35.0000      1060.54077      1146.60901 
        36.0000      1060.68872      1146.76147 
        37.0000      1060.84082      1146.91382 
        38.0000      1060.99011      1147.06628 
        39.0000      1061.13062      1147.21863 
        40.0000      1061.26147      1147.37097 
        41.0000      1061.38391      1147.52344 
        42.0000      1061.50281      1147.67578 
        43.0000      1061.62122      1147.82825 
        44.0000      1061.74023      1147.98059 
        45.0000      1061.85974      1148.13306 
        46.0000      1061.97864      1148.28540 
        47.0000      1062.09705      1148.43787 
        48.0000      1062.21533      1148.59021 
        49.0000      1062.33447      1148.74268 
        50.0000      1062.45386      1148.89502 
        51.0000      1062.57373      1149.04749 
        52.0000      1062.69434      1149.19983 
        53.0000      1062.81494      1149.35217 
        54.0000      1062.93628      1149.50464 
