   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;5 [   
                5 [A107863]     A107861]          
       Unitless              ms               m   
       165.0000      2293.73486      2714.40283 
       166.0000      2293.83838      2714.55518 
       167.0000      2293.94019      2714.70752 
       168.0000      2294.04199      2714.86011 
       169.0000      2294.14478      2715.01245 
       170.0000      2294.24878      2715.16479 
       171.0000      2294.35522      2715.31714 
       172.0000      2294.46240      2715.46948 
       173.0000      2294.57031      2715.62207 
       174.0000      2294.67896      2715.77441 
       175.0000      2294.78906      2715.92676 
       176.0000      2294.90161      2716.07910 
       177.0000      2295.02026      2716.23169 
       178.0000      2295.14917      2716.38403 
       179.0000      2295.28589      2716.53638 
       180.0000      2295.43042      2716.68872 
       181.0000      2295.58057      2716.84131 
       182.0000      2295.72998      2716.99365 
       183.0000      2295.87427      2717.14600 
       184.0000      2296.00684      2717.29834 
       185.0000      2296.12891      2717.45068 
       186.0000      2296.24536      2717.60327 
       187.0000      2296.36035      2717.75562 
       188.0000      2296.47900      2717.90796 
       189.0000      2296.60107      2718.06030 
       190.0000      2296.72559      2718.21289 
       191.0000      2296.84863      2718.36523 
       192.0000      2296.96729      2718.51758 
       193.0000      2297.08130      2718.66992 
       194.0000      2297.18799      2718.82251 
       195.0000      2297.29053      2718.97485 
       196.0000      2297.39258      2719.12720 
       197.0000      2297.49561      2719.27954 
       198.0000      2297.59912      2719.43188 
       199.0000      2297.70264      2719.58447 
       200.0000      2297.80420      2719.73682 
       201.0000      2297.90381      2719.88916 
       202.0000      2298.00146      2720.04150 
       203.0000      2298.09741      2720.19409 
       204.0000      2298.18994      2720.34644 
       205.0000      2298.28003      2720.49878 
       206.0000      2298.36816      2720.65112 
       207.0000      2298.45654      2720.80371 
       208.0000      2298.55078      2720.95605 
       209.0000      2298.65430      2721.10840 
       210.0000      2298.77344      2721.26074 
       211.0000      2298.90796      2721.41309 
       212.0000      2299.04907      2721.56567 
       213.0000      2299.19409      2721.71802 
       214.0000      2299.33716      2721.87036 
       215.0000      2299.47485      2722.02271 
       216.0000      2299.60522      2722.17529 
       217.0000      2299.72437      2722.32764 
       218.0000      2299.83740      2722.47998 
       219.0000      2299.95093      2722.63232 
       220.0000      2300.07007      2722.78491 
       221.0000      2300.19727      2722.93726 
       222.0000      2300.32764      2723.08960 
       223.0000      2300.45679      2723.24194 
       224.0000      2300.58130      2723.39429 
       225.0000      2300.70142      2723.54688 
       226.0000      2300.81812      2723.69922 
       227.0000      2300.93359      2723.85156 
       228.0000      2301.04858      2724.00391 
       229.0000      2301.16211      2724.15649 
       230.0000      2301.27222      2724.30884 
       231.0000      2301.37793      2724.46118 
       232.0000      2301.48193      2724.61353 
       233.0000      2301.58545      2724.76611 
       234.0000      2301.69165      2724.91846 
       235.0000      2301.80151      2725.07080 
       236.0000      2301.91504      2725.22314 
       237.0000      2302.03174      2725.37549 
       238.0000      2302.14941      2725.52808 
       239.0000      2302.26587      2725.68042 
       240.0000      2302.37891      2725.83276 
       241.0000      2302.48804      2725.98511 
       242.0000      2302.59351      2726.13770 
       243.0000      2302.69263      2726.29004 
       244.0000      2302.78613      2726.44238 
       245.0000      2302.87671      2726.59473 
       246.0000      2302.96729      2726.74731 
       247.0000      2303.06421      2726.89966 
       248.0000      2303.16895      2727.05200 
       249.0000      2303.28442      2727.20435 
       250.0000      2303.40942      2727.35669 
       251.0000      2303.53613      2727.50928 
       252.0000      2303.65869      2727.66162 
       253.0000      2303.76978      2727.81396 
       254.0000      2303.87085      2727.96631 
       255.0000      2303.96729      2728.11890 
       256.0000      2304.06177      2728.27124 
       257.0000      2304.15796      2728.42358 
       258.0000      2304.25513      2728.57593 
       259.0000      2304.35303      2728.72852 
       260.0000      2304.45068      2728.88086 
       261.0000      2304.54858      2729.03320 
       262.0000      2304.64771      2729.18555 
       263.0000      2304.74976      2729.33789 
       264.0000      2304.85474      2729.49048 
       265.0000      2304.96240      2729.64282 
       266.0000      2305.07544      2729.79517 
       267.0000      2305.19214      2729.94751 
       268.0000      2305.31152      2730.10010 
       269.0000      2305.43359      2730.25244 
       270.0000      2305.55615      2730.40479 
       271.0000      2305.67773      2730.55713 
       272.0000      2305.79639      2730.70972 
       273.0000      2305.90942      2730.86206 
       274.0000      2306.01855      2731.01440 
       275.0000      2306.12500      2731.16675 
       276.0000      2306.22656      2731.31909 
       277.0000      2306.32373      2731.47168 
       278.0000      2306.41626      2731.62402 
       279.0000      2306.50024      2731.77637 
       280.0000      2306.57837      2731.92871 
       281.0000      2306.65381      2732.08130 
       282.0000      2306.72900      2732.23364 
       283.0000      2306.80859      2732.38599 
       284.0000      2306.89355      2732.53833 
       285.0000      2306.98413      2732.69092 
       286.0000      2307.08154      2732.84326 
       287.0000      2307.18311      2732.99561 
       288.0000      2307.28662      2733.14795 
       289.0000      2307.39087      2733.30029 
       290.0000      2307.49585      2733.45288 
       291.0000      2307.60083      2733.60522 
       292.0000      2307.70605      2733.75757 
       293.0000      2307.81201      2733.90991 
       294.0000      2307.91821      2734.06250 
       295.0000      2308.02515      2734.21484 
       296.0000      2308.13135      2734.36719 
       297.0000      2308.23779      2734.51953 
       298.0000      2308.34375      2734.67212 
       299.0000      2308.44849      2734.82446 
       300.0000      2308.55298      2734.97681 
       301.0000      2308.65747      2735.12915 
       302.0000      2308.76147      2735.28149 
       303.0000      2308.86572      2735.43408 
       304.0000      2308.96973      2735.58643 
       305.0000      2309.07324      2735.73877 
       306.0000      2309.17676      2735.89111 
       307.0000      2309.27979      2736.04370 
       308.0000      2309.38135      2736.19604 
       309.0000      2309.48291      2736.34839 
       310.0000      2309.58350      2736.50073 
       311.0000      2309.68359      2736.65332 
       312.0000      2309.78467      2736.80566 
       313.0000      2309.88623      2736.95801 
       314.0000      2309.98730      2737.11035 
       315.0000      2310.08740      2737.26270 
       316.0000      2310.18652      2737.41528 
       317.0000      2310.28442      2737.56763 
       318.0000      2310.38110      2737.71997 
       319.0000      2310.47803      2737.87231 
       320.0000      2310.57373      2738.02490 
       321.0000      2310.66870      2738.17725 
       322.0000      2310.76221      2738.32959 
       323.0000      2310.85327      2738.48193 
       324.0000      2310.94385      2738.63452 
       325.0000      2311.03540      2738.78687 
       326.0000      2311.12939      2738.93921 
       327.0000      2311.22656      2739.09155 
       328.0000      2311.32666      2739.24390 
       329.0000      2311.42725      2739.39648 
       330.0000      2311.52881      2739.54883 
       331.0000      2311.63013      2739.70117 
       332.0000      2311.73071      2739.85352 
       333.0000      2311.83179      2740.00610 
       334.0000      2311.93237      2740.15845 
       335.0000      2312.03052      2740.31079 
       336.0000      2312.12500      2740.46313 
       337.0000      2312.21021      2740.61572 
       338.0000      2312.28760      2740.76807 
       339.0000      2312.35718      2740.92041 
       340.0000      2312.41919      2741.07275 
       341.0000      2312.47729      2741.22510 
       342.0000      2312.53418      2741.37769 
       343.0000      2312.59082      2741.53003 
       344.0000      2312.64795      2741.68237 
       345.0000      2312.70581      2741.83472 
       346.0000      2312.76343      2741.98730 
       347.0000      2312.82300      2742.13965 
       348.0000      2312.88403      2742.29199 
       349.0000      2312.94702      2742.44434 
       350.0000      2313.01050      2742.59668 
       351.0000      2313.07397      2742.74927 
       352.0000      2313.13550      2742.90161 
       353.0000      2313.19556      2743.05396 
       354.0000      2313.25562      2743.20630 
       355.0000      2313.31763      2743.35889 
