   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;3 [   
                3 [A101781]     A101779]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       250.75465       375.15240 
         2.0000       250.79324       375.30481 
         3.0000       250.83188       375.45721 
         4.0000       250.87044       375.60959 
         5.0000       250.90900       375.76199 
         6.0000       250.94760       375.91440 
         7.0000       250.98622       376.06680 
         8.0000       251.02481       376.21921 
         9.0000       251.06332       376.37161 
        10.0000       251.10191       376.52399 
        11.0000       251.14050       376.67639 
        12.0000       251.17909       376.82880 
        13.0000       251.21770       376.98120 
        14.0000       251.25626       377.13361 
        15.0000       251.29485       377.28601 
        16.0000       251.33345       377.43839 
        17.0000       251.37204       377.59079 
        18.0000       251.41060       377.74319 
        19.0000       251.44920       377.89560 
        20.0000       251.48779       378.04800 
        21.0000       251.52638       378.20041 
        22.0000       251.56496       378.35281 
        23.0000       251.60352       378.50519 
        24.0000       251.64214       378.65759 
        25.0000       251.68073       378.81000 
        26.0000       251.71930       378.96240 
        27.0000       251.75786       379.11481 
        28.0000       251.79645       379.26721 
        29.0000       251.83505       379.41959 
        30.0000       251.87367       379.57199 
        31.0000       251.91220       379.72440 
        32.0000       251.95084       379.87680 
        33.0000       251.98943       380.02921 
        34.0000       252.02798       380.18161 
        35.0000       252.06659       380.33401 
        36.0000       252.10518       380.48639 
        37.0000       252.14371       380.63879 
        38.0000       252.18231       380.79120 
        39.0000       252.22084       380.94360 
        40.0000       252.25946       381.09601 
        41.0000       252.29808       381.24841 
        42.0000       252.33665       381.40079 
        43.0000       252.37524       381.55319 
        44.0000       252.41380       381.70560 
        45.0000       252.45241       381.85800 
        46.0000       252.49100       382.01041 
        47.0000       252.52959       382.16281 
        48.0000       252.56816       382.31519 
        49.0000       252.60675       382.46759 
        50.0000       252.64531       382.62000 
        51.0000       252.68391       382.77240 
        52.0000       252.72247       382.92480 
        53.0000       252.76109       383.07721 
        54.0000       252.79968       383.22961 
        55.0000       252.83826       383.38199 
        56.0000       252.87682       383.53439 
        57.0000       252.91544       383.68680 
        58.0000       252.95401       383.83920 
        59.0000       252.99263       383.99161 
        60.0000       253.03122       384.14401 
        61.0000       253.06976       384.29639 
