   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A108059]        2 [A108061]       
       Unitless               m              ms   
       165.0000      2509.94556      2035.71826 
       166.0000      2510.09790      2035.78040 
       167.0000      2510.25049      2035.84314 
       168.0000      2510.40283      2035.90869 
       169.0000      2510.55518      2035.97803 
       170.0000      2510.70752      2036.05200 
       171.0000      2510.86011      2036.12537 
       172.0000      2511.01245      2036.19690 
       173.0000      2511.16479      2036.26233 
       174.0000      2511.31714      2036.32544 
       175.0000      2511.46948      2036.38623 
       176.0000      2511.62207      2036.44751 
       177.0000      2511.77441      2036.51025 
       178.0000      2511.92676      2036.57581 
       179.0000      2512.07910      2036.64282 
       180.0000      2512.23169      2036.71143 
       181.0000      2512.38403      2036.77966 
       182.0000      2512.53638      2036.84753 
       183.0000      2512.68872      2036.91321 
       184.0000      2512.84131      2036.97656 
       185.0000      2512.99365      2037.03857 
       186.0000      2513.14600      2037.09839 
       187.0000      2513.29834      2037.15759 
       188.0000      2513.45068      2037.21667 
       189.0000      2513.60327      2037.27478 
       190.0000      2513.75562      2037.33179 
       191.0000      2513.90796      2037.38782 
       192.0000      2514.06030      2037.44312 
       193.0000      2514.21289      2037.50037 
       194.0000      2514.36523      2037.55859 
       195.0000      2514.51758      2037.61719 
       196.0000      2514.66992      2037.67542 
       197.0000      2514.82251      2037.73376 
       198.0000      2514.97485      2037.79248 
       199.0000      2515.12720      2037.85107 
       200.0000      2515.27954      2037.91064 
       201.0000      2515.43188      2037.97058 
       202.0000      2515.58447      2038.03015 
       203.0000      2515.73682      2038.08972 
       204.0000      2515.88916      2038.14844 
       205.0000      2516.04150      2038.20496 
       206.0000      2516.19409      2038.25781 
       207.0000      2516.34644      2038.30908 
       208.0000      2516.49878      2038.35962 
       209.0000      2516.65112      2038.41113 
       210.0000      2516.80371      2038.46436 
       211.0000      2516.95605      2038.51941 
       212.0000      2517.10840      2038.57642 
       213.0000      2517.26074      2038.63379 
       214.0000      2517.41309      2038.69006 
       215.0000      2517.56567      2038.74377 
       216.0000      2517.71802      2038.79431 
       217.0000      2517.87036      2038.84363 
       218.0000      2518.02271      2038.89294 
       219.0000      2518.17529      2038.94287 
       220.0000      2518.32764      2038.99292 
       221.0000      2518.47998      2039.04175 
       222.0000      2518.63232      2039.08850 
       223.0000      2518.78491      2039.13574 
       224.0000      2518.93726      2039.18457 
       225.0000      2519.08960      2039.23840 
       226.0000      2519.24194      2039.29858 
       227.0000      2519.39429      2039.36047 
       228.0000      2519.54688      2039.42065 
       229.0000      2519.69922      2039.47375 
       230.0000      2519.85156      2039.52356 
       231.0000      2520.00391      2039.57178 
       232.0000      2520.15649      2039.62085 
       233.0000      2520.30884      2039.67139 
       234.0000      2520.46118      2039.72266 
       235.0000      2520.61353      2039.77441 
       236.0000      2520.76611      2039.82568 
       237.0000      2520.91846      2039.87695 
       238.0000      2521.07080      2039.92651 
       239.0000      2521.22314      2039.97498 
       240.0000      2521.37549      2040.02356 
       241.0000      2521.52808      2040.07239 
       242.0000      2521.68042      2040.12317 
       243.0000      2521.83276      2040.17566 
       244.0000      2521.98511      2040.22974 
       245.0000      2522.13770      2040.28821 
       246.0000      2522.29004      2040.34924 
       247.0000      2522.44238      2040.41309 
       248.0000      2522.59473      2040.48010 
       249.0000      2522.74731      2040.54932 
       250.0000      2522.89966      2040.61816 
       251.0000      2523.05200      2040.68518 
       252.0000      2523.20435      2040.74792 
       253.0000      2523.35669      2040.80945 
       254.0000      2523.50928      2040.86926 
       255.0000      2523.66162      2040.92603 
       256.0000      2523.81396      2040.98059 
       257.0000      2523.96631      2041.03308 
       258.0000      2524.11890      2041.08386 
       259.0000      2524.27124      2041.13342 
       260.0000      2524.42358      2041.18201 
       261.0000      2524.57593      2041.22876 
       262.0000      2524.72852      2041.27124 
       263.0000      2524.88086      2041.31128 
       264.0000      2525.03320      2041.34875 
       265.0000      2525.18555      2041.38440 
       266.0000      2525.33789      2041.41931 
       267.0000      2525.49048      2041.45337 
       268.0000      2525.64282      2041.48645 
       269.0000      2525.79517      2041.51941 
       270.0000      2525.94751      2041.55298 
       271.0000      2526.10010      2041.58740 
       272.0000      2526.25244      2041.62097 
       273.0000      2526.40479      2041.65405 
       274.0000      2526.55713      2041.68628 
       275.0000      2526.70972      2041.71802 
       276.0000      2526.86206      2041.74927 
       277.0000      2527.01440      2041.78052 
       278.0000      2527.16675      2041.81152 
       279.0000      2527.31909      2041.84412 
       280.0000      2527.47168      2041.87732 
       281.0000      2527.62402      2041.91370 
       282.0000      2527.77637      2041.95093 
       283.0000      2527.92871      2041.98816 
       284.0000      2528.08130      2042.02515 
       285.0000      2528.23364      2042.06177 
       286.0000      2528.38599      2042.09949 
       287.0000      2528.53833      2042.13733 
       288.0000      2528.69092      2042.17627 
       289.0000      2528.84326      2042.21680 
       290.0000      2528.99561      2042.25806 
       291.0000      2529.14795      2042.30188 
       292.0000      2529.30029      2042.34766 
       293.0000      2529.45288      2042.39490 
       294.0000      2529.60522      2042.44373 
       295.0000      2529.75757      2042.49329 
       296.0000      2529.90991      2042.54102 
       297.0000      2530.06250      2042.58728 
       298.0000      2530.21484      2042.63135 
       299.0000      2530.36719      2042.67554 
       300.0000      2530.51953      2042.71887 
       301.0000      2530.67212      2042.76257 
       302.0000      2530.82446      2042.80566 
       303.0000      2530.97681      2042.84888 
       304.0000      2531.12915      2042.89172 
       305.0000      2531.28149      2042.93579 
       306.0000      2531.43408      2042.98071 
       307.0000      2531.58643      2043.02783 
       308.0000      2531.73877      2043.07959 
       309.0000      2531.89111      2043.13562 
       310.0000      2532.04370      2043.19592 
       311.0000      2532.19604      2043.26318 
       312.0000      2532.34839      2043.33447 
       313.0000      2532.50073      2043.40906 
       314.0000      2532.65332      2043.49060 
       315.0000      2532.80566      2043.57458 
       316.0000      2532.95801      2043.65869 
       317.0000      2533.11035      2043.74146 
       318.0000      2533.26270      2043.82178 
       319.0000      2533.41528      2043.90149 
       320.0000      2533.56763      2043.98157 
       321.0000      2533.71997      2044.06287 
       322.0000      2533.87231      2044.14368 
       323.0000      2534.02490      2044.22473 
       324.0000      2534.17725      2044.30627 
       325.0000      2534.32959      2044.38806 
       326.0000      2534.48193      2044.46936 
       327.0000      2534.63452      2044.54968 
       328.0000      2534.78687      2044.62915 
       329.0000      2534.93921      2044.70752 
       330.0000      2535.09155      2044.78552 
       331.0000      2535.24390      2044.86340 
       332.0000      2535.39648      2044.94263 
       333.0000      2535.54883      2045.02222 
       334.0000      2535.70117      2045.10425 
       335.0000      2535.85352      2045.18726 
       336.0000      2536.00610      2045.27002 
       337.0000      2536.15845      2045.35107 
       338.0000      2536.31079      2045.42993 
       339.0000      2536.46313      2045.50769 
       340.0000      2536.61572      2045.58521 
       341.0000      2536.76807      2045.66284 
       342.0000      2536.92041      2045.74133 
       343.0000      2537.07275      2045.82019 
       344.0000      2537.22510      2045.89868 
       345.0000      2537.37769      2045.97644 
       346.0000      2537.53003      2046.05383 
       347.0000      2537.68237      2046.13037 
       348.0000      2537.83472      2046.20691 
       349.0000      2537.98730      2046.28394 
       350.0000      2538.13965      2046.36194 
       351.0000      2538.29199      2046.44104 
       352.0000      2538.44434      2046.52075 
       353.0000      2538.59668      2046.60107 
       354.0000      2538.74927      2046.68115 
       355.0000      2538.90161      2046.76013 
       356.0000      2539.05396      2046.83899 
       357.0000      2539.20630      2046.91772 
       358.0000      2539.35889      2046.99707 
       359.0000      2539.51123      2047.07642 
       360.0000      2539.66357      2047.15564 
       361.0000      2539.81592      2047.23401 
       362.0000      2539.96851      2047.31152 
       363.0000      2540.12085      2047.38757 
       364.0000      2540.27319      2047.46228 
       365.0000      2540.42554      2047.53589 
       366.0000      2540.57788      2047.60889 
       367.0000      2540.73047      2047.67993 
       368.0000      2540.88281      2047.75049 
       369.0000      2541.03516      2047.82031 
       370.0000      2541.18750      2047.88782 
       371.0000      2541.34009      2047.95288 
       372.0000      2541.49243      2048.01733 
       373.0000      2541.64478      2048.08081 
       374.0000      2541.79712      2048.14551 
       375.0000      2541.94971      2048.21289 
       376.0000      2542.10205      2048.28320 
       377.0000      2542.25439      2048.35522 
       378.0000      2542.40674      2048.42773 
       379.0000      2542.55908      2048.50073 
       380.0000      2542.71167      2048.57520 
       381.0000      2542.86401      2048.65088 
       382.0000      2543.01636      2048.72876 
       383.0000      2543.16870      2048.80859 
       384.0000      2543.32129      2048.89014 
       385.0000      2543.47363      2048.97217 
       386.0000      2543.62598      2049.05469 
       387.0000      2543.77832      2049.13647 
       388.0000      2543.93091      2049.21777 
       389.0000      2544.08325      2049.29883 
       390.0000      2544.23560      2049.37842 
       391.0000      2544.38794      2049.45752 
       392.0000      2544.54028      2049.53491 
       393.0000      2544.69287      2049.60962 
       394.0000      2544.84521      2049.68237 
       395.0000      2544.99756      2049.75366 
       396.0000      2545.14990      2049.82349 
       397.0000      2545.30249      2049.89282 
       398.0000      2545.45483      2049.96216 
       399.0000      2545.60718      2050.03101 
       400.0000      2545.75952      2050.09985 
       401.0000      2545.91211      2050.16943 
       402.0000      2546.06445      2050.24048 
       403.0000      2546.21680      2050.31348 
       404.0000      2546.36914      2050.38770 
       405.0000      2546.52148      2050.46338 
       406.0000      2546.67407      2050.54004 
       407.0000      2546.82642      2050.61597 
       408.0000      2546.97876      2050.69238 
       409.0000      2547.13110      2050.76733 
       410.0000      2547.28369      2050.84326 
       411.0000      2547.43604      2050.91870 
       412.0000      2547.58838      2050.99536 
       413.0000      2547.74072      2051.07349 
       414.0000      2547.89331      2051.15259 
       415.0000      2548.04565      2051.23047 
       416.0000      2548.19800      2051.30688 
       417.0000      2548.35034      2051.38232 
       418.0000      2548.50269      2051.45679 
       419.0000      2548.65527      2051.53076 
       420.0000      2548.80762      2051.60474 
       421.0000      2548.95996      2051.67896 
       422.0000      2549.11230      2051.75269 
       423.0000      2549.26489      2051.82642 
       424.0000      2549.41724      2051.89966 
       425.0000      2549.56958      2051.97339 
       426.0000      2549.72192      2052.04785 
       427.0000      2549.87451      2052.12061 
       428.0000      2550.02686      2052.19116 
       429.0000      2550.17920      2052.25415 
       430.0000      2550.33154      2052.31299 
       431.0000      2550.48389      2052.36865 
       432.0000      2550.63647      2052.42334 
       433.0000      2550.78882      2052.47974 
       434.0000      2550.93018      2052.53613 
       435.0000      2550.94116      2052.54102 
       436.0000      2551.09351      2052.61865 
       437.0000      2551.24609      2052.70532 
       438.0000      2551.39844      2052.79712 
       439.0000      2551.55078      2052.89258 
       440.0000      2551.70312      2052.99048 
       441.0000      2551.85571      2053.08765 
       442.0000      2552.00806      2053.18530 
       443.0000      2552.16040      2053.28223 
       444.0000      2552.31274      2053.37988 
       445.0000      2552.46509      2053.47803 
       446.0000      2552.61768      2053.57544 
       447.0000      2552.77002      2053.67310 
       448.0000      2552.92236      2053.77026 
       449.0000      2553.07471      2053.86743 
       450.0000      2553.22729      2053.96411 
       451.0000      2553.37964      2054.06104 
       452.0000      2553.53198      2054.15649 
       453.0000      2553.68433      2054.25122 
       454.0000      2553.83691      2054.34497 
       455.0000      2553.98926      2054.43774 
       456.0000      2554.14160      2054.52905 
       457.0000      2554.29395      2054.61938 
       458.0000      2554.44629      2054.70996 
       459.0000      2554.59888      2054.80103 
       460.0000      2554.75122      2054.89331 
       461.0000      2554.90356      2054.98633 
       462.0000      2555.05591      2055.07959 
       463.0000      2555.20850      2055.17334 
       464.0000      2555.36084      2055.26587 
       465.0000      2555.51318      2055.35718 
       466.0000      2555.66553      2055.44604 
       467.0000      2555.81812      2055.53687 
       468.0000      2555.97046      2055.63062 
       469.0000      2556.12280      2055.73096 
       470.0000      2556.27515      2055.83472 
       471.0000      2556.42749      2055.93896 
       472.0000      2556.58008      2056.04126 
       473.0000      2556.73242      2056.14160 
       474.0000      2556.88477      2056.24121 
       475.0000      2557.03711      2056.34058 
       476.0000      2557.18970      2056.44043 
       477.0000      2557.34204      2056.54395 
       478.0000      2557.49438      2056.65112 
       479.0000      2557.64673      2056.76685 
       480.0000      2557.79932      2056.88330 
       481.0000      2557.95166      2056.99683 
       482.0000      2558.10400      2057.10059 
       483.0000      2558.25635      2057.19507 
       484.0000      2558.40869      2057.28564 
       485.0000      2558.56128      2057.37500 
       486.0000      2558.71362      2057.46704 
       487.0000      2558.86597      2057.56128 
       488.0000      2559.01831      2057.65845 
       489.0000      2559.17090      2057.76099 
       490.0000      2559.32324      2057.86572 
       491.0000      2559.47559      2057.97119 
       492.0000      2559.62793      2058.07471 
       493.0000      2559.78052      2058.17505 
       494.0000      2559.93286      2058.27295 
       495.0000      2560.08521      2058.36890 
       496.0000      2560.23755      2058.46387 
       497.0000      2560.38989      2058.55786 
       498.0000      2560.54248      2058.65088 
       499.0000      2560.69482      2058.74243 
       500.0000      2560.84717      2058.83521 
       501.0000      2560.99951      2058.93115 
       502.0000      2561.15210      2059.03882 
       503.0000      2561.30444      2059.15332 
