   PrimaryIndex TVD@UNKNOWN;3 [ TWOTIM@UNKNOWN;   
                A102272]        3 [A102274]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000      1300.15234      1093.02002 
         2.0000      1300.30481      1093.14539 
         3.0000      1300.45715      1093.27051 
         4.0000      1300.60962      1093.39612 
         5.0000      1300.76196      1093.52148 
         6.0000      1300.91443      1093.64612 
         7.0000      1301.06677      1093.76843 
         8.0000      1301.21924      1093.88721 
         9.0000      1301.37158      1094.00159 
        10.0000      1301.52405      1094.11279 
        11.0000      1301.67639      1094.22156 
        12.0000      1301.82886      1094.32996 
        13.0000      1301.98120      1094.43896 
        14.0000      1302.13354      1094.54968 
        15.0000      1302.28601      1094.66089 
        16.0000      1302.43835      1094.76965 
        17.0000      1302.59082      1094.87585 
        18.0000      1302.74316      1094.97876 
        19.0000      1302.89563      1095.08252 
        20.0000      1303.04797      1095.19043 
        21.0000      1303.20044      1095.30164 
        22.0000      1303.35278      1095.41577 
        23.0000      1303.50525      1095.53210 
        24.0000      1303.65759      1095.64832 
        25.0000      1303.81006      1095.76404 
        26.0000      1303.96240      1095.88269 
        27.0000      1304.11475      1096.01184 
        28.0000      1304.26721      1096.15222 
        29.0000      1304.41956      1096.30859 
        30.0000      1304.57202      1096.46997 
        31.0000      1304.72437      1096.63269 
        32.0000      1304.87683      1096.79541 
        33.0000      1305.02917      1096.95715 
        34.0000      1305.18164      1097.11743 
        35.0000      1305.33398      1097.27698 
        36.0000      1305.48645      1097.43738 
        37.0000      1305.63879      1097.60022 
        38.0000      1305.79126      1097.76709 
        39.0000      1305.94360      1097.94116 
        40.0000      1306.09595      1098.12732 
        41.0000      1306.24841      1098.32239 
        42.0000      1306.40076      1098.52148 
        43.0000      1306.55322      1098.70581 
        44.0000      1306.70557      1098.87988 
        45.0000      1306.85803      1099.05127 
        46.0000      1307.01038      1099.22144 
        47.0000      1307.16284      1099.38818 
        48.0000      1307.31519      1099.55151 
        49.0000      1307.46765      1099.71179 
        50.0000      1307.62000      1099.86914 
        51.0000      1307.77246      1100.02490 
        52.0000      1307.92480      1100.18115 
        53.0000      1308.07715      1100.33777 
        54.0000      1308.22961      1100.49402 
        55.0000      1308.38196      1100.64929 
        56.0000      1308.53442      1100.80359 
        57.0000      1308.68677      1100.95825 
        58.0000      1308.83923      1101.11377 
        59.0000      1308.99158      1101.27197 
        60.0000      1309.14404      1101.43286 
        61.0000      1309.29639      1101.59558 
        62.0000      1309.44885      1101.76001 
        63.0000      1309.60120      1101.92419 
        64.0000      1309.75354      1102.08704 
        65.0000      1309.90601      1102.24768 
        66.0000      1310.05835      1102.40930 
        67.0000      1310.21082      1102.57117 
        68.0000      1310.36316      1102.73328 
        69.0000      1310.51562      1102.89661 
        70.0000      1310.66797      1103.06116 
        71.0000      1310.82043      1103.22473 
        72.0000      1310.97278      1103.38757 
        73.0000      1311.12524      1103.55371 
        74.0000      1311.27759      1103.72314 
        75.0000      1311.43005      1103.89429 
        76.0000      1311.58240      1104.06665 
        77.0000      1311.73474      1104.23926 
        78.0000      1311.88721      1104.41101 
        79.0000      1312.03955      1104.58130 
        80.0000      1312.19202      1104.75281 
        81.0000      1312.34436      1104.92773 
        82.0000      1312.49683      1105.10657 
        83.0000      1312.64917      1105.29004 
        84.0000      1312.80164      1105.47534 
        85.0000      1312.95398      1105.65759 
        86.0000      1313.10645      1105.83240 
        87.0000      1313.25879      1105.99841 
        88.0000      1313.41125      1106.16150 
        89.0000      1313.56360      1106.32727 
        90.0000      1313.71545      1106.49707 
        91.0000      1313.71594      1106.49805 
        92.0000      1313.86841      1106.76245 
        93.0000      1314.02075      1107.01294 
        94.0000      1314.17322      1107.25659 
        95.0000      1314.32556      1107.49866 
        96.0000      1314.47803      1107.74084 
        97.0000      1314.63037      1107.98328 
        98.0000      1314.78284      1108.22473 
        99.0000      1314.93518      1108.46570 
       100.0000      1315.08765      1108.70715 
       101.0000      1315.23999      1108.95007 
       102.0000      1315.39246      1109.19336 
       103.0000      1315.54480      1109.43579 
       104.0000      1315.69714      1109.67737 
       105.0000      1315.84961      1109.91821 
       106.0000      1316.00195      1110.15845 
       107.0000      1316.15442      1110.39758 
       108.0000      1316.30676      1110.63586 
       109.0000      1316.45923      1110.87219 
       110.0000      1316.61157      1111.10693 
       111.0000      1316.76404      1111.34070 
       112.0000      1316.91638      1111.57385 
       113.0000      1317.06885      1111.80420 
       114.0000      1317.22119      1112.03113 
       115.0000      1317.37366      1112.25195 
       116.0000      1317.52600      1112.46753 
       117.0000      1317.67834      1112.67847 
       118.0000      1317.83081      1112.88635 
       119.0000      1317.98315      1113.09021 
       120.0000      1318.13562      1113.28882 
       121.0000      1318.28796      1113.48169 
       122.0000      1318.44043      1113.66919 
       123.0000      1318.59277      1113.85193 
       124.0000      1318.74524      1114.03284 
       125.0000      1318.89758      1114.21704 
       126.0000      1319.05005      1114.40234 
       127.0000      1319.20239      1114.58850 
       128.0000      1319.35486      1114.77747 
       129.0000      1319.50720      1114.96863 
       130.0000      1319.65955      1115.16101 
