   PrimaryIndex TVD@UNKNOWN;4 [ TWOTIM@UNKNOWN;   
                A100546]        4 [A100548]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       706.96161       622.96112 
         2.0000       707.11401       623.12299 
         3.0000       707.26642       623.28564 
         4.0000       707.41876       623.44995 
         5.0000       707.57117       623.61603 
         6.0000       707.72357       623.78412 
         7.0000       707.87598       623.95410 
         8.0000       708.02838       624.12476 
         9.0000       708.18079       624.29480 
        10.0000       708.33319       624.46332 
        11.0000       708.48560       624.63007 
        12.0000       708.63800       624.79523 
        13.0000       708.79041       624.95941 
        14.0000       708.94281       625.12250 
        15.0000       709.09521       625.28339 
        16.0000       709.24756       625.44067 
        17.0000       709.39996       625.59326 
        18.0000       709.55237       625.74176 
        19.0000       709.70477       625.88885 
        20.0000       709.85718       626.03613 
        21.0000       710.00958       626.18463 
        22.0000       710.16199       626.33441 
        23.0000       710.31439       626.48468 
        24.0000       710.46680       626.63507 
        25.0000       710.61920       626.78369 
        26.0000       710.77161       626.92938 
        27.0000       710.92401       627.07123 
        28.0000       711.07642       627.20978 
        29.0000       711.22876       627.34741 
        30.0000       711.38116       627.48706 
        31.0000       711.53357       627.63116 
        32.0000       711.68597       627.78033 
        33.0000       711.83838       627.93347 
        34.0000       711.99078       628.08954 
        35.0000       712.14319       628.24786 
        36.0000       712.29559       628.40875 
        37.0000       712.44800       628.57233 
        38.0000       712.60040       628.73785 
        39.0000       712.75281       628.90356 
        40.0000       712.90521       629.06812 
        41.0000       713.05762       629.23126 
        42.0000       713.20996       629.39301 
        43.0000       713.36237       629.55298 
        44.0000       713.51477       629.71033 
        45.0000       713.66718       629.86481 
        46.0000       713.81958       630.01678 
        47.0000       713.97198       630.16791 
        48.0000       714.12439       630.32001 
        49.0000       714.27679       630.47473 
        50.0000       714.42920       630.63354 
        51.0000       714.58160       630.79694 
        52.0000       714.73401       630.96448 
        53.0000       714.88641       631.13464 
        54.0000       715.03882       631.30597 
        55.0000       715.19116       631.47736 
        56.0000       715.34357       631.64795 
        57.0000       715.49597       631.81744 
        58.0000       715.64838       631.98645 
        59.0000       715.80078       632.15509 
        60.0000       715.95319       632.32391 
        61.0000       716.10559       632.49176 
        62.0000       716.25800       632.65784 
        63.0000       716.41040       632.82214 
        64.0000       716.56281       632.98596 
        65.0000       716.71521       633.15100 
        66.0000       716.86761       633.31879 
        67.0000       717.01996       633.48950 
        68.0000       717.17236       633.66229 
        69.0000       717.32477       633.83600 
        70.0000       717.47717       634.00903 
        71.0000       717.62958       634.18097 
        72.0000       717.78198       634.35248 
        73.0000       717.93439       634.52478 
        74.0000       718.08679       634.69885 
        75.0000       718.23920       634.87531 
        76.0000       718.39160       635.05389 
        77.0000       718.54401       635.23431 
        78.0000       718.69641       635.41559 
        79.0000       718.84882       635.59723 
        80.0000       719.00116       635.77881 
        81.0000       719.15356       635.95966 
        82.0000       719.30597       636.13922 
        83.0000       719.45837       636.31714 
        84.0000       719.61078       636.49390 
        85.0000       719.76318       636.67023 
        86.0000       719.91559       636.84637 
        87.0000       720.06799       637.02197 
        88.0000       720.22040       637.19629 
        89.0000       720.37280       637.36896 
        90.0000       720.52521       637.53918 
        91.0000       720.67761       637.70691 
        92.0000       720.83002       637.87329 
        93.0000       720.98236       638.03906 
        94.0000       721.13477       638.20435 
        95.0000       721.28717       638.36859 
        96.0000       721.43958       638.53113 
        97.0000       721.59198       638.69104 
        98.0000       721.74438       638.84814 
        99.0000       721.89679       639.00262 
       100.0000       722.04919       639.15601 
       101.0000       722.20160       639.31055 
       102.0000       722.35400       639.46765 
       103.0000       722.50641       639.62830 
       104.0000       722.65881       639.79169 
       105.0000       722.81122       639.95630 
       106.0000       722.96356       640.12109 
       107.0000       723.11597       640.28534 
       108.0000       723.26837       640.44891 
       109.0000       723.42078       640.61163 
       110.0000       723.57318       640.77307 
       111.0000       723.72559       640.93341 
       112.0000       723.87799       641.09332 
       113.0000       724.03040       641.25415 
       114.0000       724.18280       641.41718 
       115.0000       724.33521       641.58331 
       116.0000       724.48761       641.75201 
       117.0000       724.64001       641.92249 
       118.0000       724.79236       642.09296 
       119.0000       724.94476       642.26300 
       120.0000       725.09717       642.43243 
       121.0000       725.24957       642.60144 
       122.0000       725.40198       642.76996 
       123.0000       725.55438       642.93799 
       124.0000       725.70679       643.10590 
       125.0000       725.85919       643.27368 
       126.0000       726.01160       643.44159 
       127.0000       726.16400       643.61005 
       128.0000       726.31641       643.77924 
       129.0000       726.46881       643.94928 
       130.0000       726.62122       644.11975 
       131.0000       726.77356       644.29010 
       132.0000       726.92596       644.45990 
       133.0000       727.07837       644.62878 
       134.0000       727.23077       644.79675 
       135.0000       727.38318       644.96350 
       136.0000       727.53558       645.12897 
       137.0000       727.68799       645.29303 
       138.0000       727.84039       645.45624 
       139.0000       727.99280       645.61920 
       140.0000       728.14520       645.78235 
       141.0000       728.29761       645.94580 
       142.0000       728.45001       646.10907 
       143.0000       728.60242       646.27185 
       144.0000       728.75476       646.43231 
       145.0000       728.90717       646.58832 
