   PrimaryIndex TVD@UNKNOWN;3 [ TWOTIM@UNKNOWN;   
                A100221]        3 [A100223]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       988.65240       950.65643 
         2.0000       988.80481       950.78625 
         3.0000       988.95721       950.91333 
         4.0000       989.10962       951.04010 
         5.0000       989.26202       951.16809 
         6.0000       989.41443       951.29700 
         7.0000       989.56677       951.42633 
         8.0000       989.71918       951.55609 
         9.0000       989.87158       951.68604 
        10.0000       990.02399       951.81561 
        11.0000       990.17639       951.94403 
        12.0000       990.32880       952.07227 
        13.0000       990.48120       952.20020 
        14.0000       990.63361       952.32745 
        15.0000       990.78601       952.45428 
        16.0000       990.93842       952.58160 
        17.0000       991.09082       952.71106 
        18.0000       991.24323       952.84369 
        19.0000       991.39563       952.97937 
        20.0000       991.54797       953.11853 
        21.0000       991.70038       953.26215 
        22.0000       991.85278       953.40692 
        23.0000       992.00519       953.54889 
        24.0000       992.15759       953.68304 
        25.0000       992.31000       953.81067 
        26.0000       992.46240       953.93622 
        27.0000       992.61481       954.06146 
        28.0000       992.76721       954.18646 
        29.0000       992.91962       954.31012 
        30.0000       993.07202       954.43353 
        31.0000       993.22443       954.55969 
        32.0000       993.37677       954.68988 
        33.0000       993.52917       954.82404 
        34.0000       993.68158       954.96265 
        35.0000       993.83398       955.10297 
        36.0000       993.98639       955.24207 
        37.0000       994.13879       955.37579 
        38.0000       994.29120       955.50220 
        39.0000       994.44360       955.62524 
        40.0000       994.59601       955.74738 
        41.0000       994.74841       955.87274 
        42.0000       994.90082       956.00256 
        43.0000       995.05322       956.13617 
        44.0000       995.20563       956.26996 
        45.0000       995.35797       956.39990 
        46.0000       995.51038       956.52551 
        47.0000       995.66278       956.64825 
        48.0000       995.81519       956.77240 
        49.0000       995.96759       956.89862 
        50.0000       996.12000       957.02606 
        51.0000       996.27240       957.15277 
        52.0000       996.42480       957.27966 
        53.0000       996.57721       957.40845 
        54.0000       996.72961       957.54077 
        55.0000       996.88202       957.67468 
        56.0000       997.03442       957.80798 
        57.0000       997.18683       957.93854 
        58.0000       997.33917       958.06812 
        59.0000       997.49158       958.20001 
        60.0000       997.64398       958.33759 
        61.0000       997.79639       958.47882 
        62.0000       997.94879       958.61780 
        63.0000       998.10120       958.74927 
        64.0000       998.25360       958.86975 
        65.0000       998.40601       958.98456 
        66.0000       998.55841       959.09894 
        67.0000       998.71082       959.21698 
        68.0000       998.86322       959.33862 
        69.0000       999.01562       959.46222 
        70.0000       999.16803       959.58582 
        71.0000       999.32037       959.70807 
        72.0000       999.47278       959.82910 
        73.0000       999.62518       959.94873 
        74.0000       999.77759       960.06720 
        75.0000       999.92999       960.18469 
        76.0000      1000.08240       960.30084 
        77.0000      1000.23480       960.41541 
        78.0000      1000.38721       960.52936 
        79.0000      1000.53961       960.64417 
        80.0000      1000.69202       960.76257 
        81.0000      1000.84442       960.88531 
        82.0000      1000.99683       961.01178 
        83.0000      1001.14917       961.14276 
        84.0000      1001.30157       961.27637 
        85.0000      1001.45398       961.41052 
        86.0000      1001.60638       961.54413 
        87.0000      1001.75879       961.67511 
        88.0000      1001.91119       961.80243 
        89.0000      1002.06360       961.92450 
        90.0000      1002.21600       962.03986 
        91.0000      1002.36841       962.15234 
        92.0000      1002.52081       962.26483 
        93.0000      1002.67322       962.38043 
        94.0000      1002.82562       962.49902 
        95.0000      1002.97803       962.61981 
        96.0000      1003.13037       962.74426 
        97.0000      1003.28278       962.87561 
        98.0000      1003.43518       963.01398 
        99.0000      1003.58759       963.16211 
       100.0000      1003.73999       963.32288 
       101.0000      1003.89240       963.49170 
       102.0000      1004.04480       963.66528 
       103.0000      1004.19720       963.84119 
       104.0000      1004.34961       964.01526 
       105.0000      1004.50201       964.18597 
       106.0000      1004.65442       964.35138 
       107.0000      1004.80682       964.51184 
       108.0000      1004.95923       964.66949 
       109.0000      1005.11157       964.82422 
       110.0000      1005.26398       964.97662 
       111.0000      1005.41638       965.12793 
       112.0000      1005.56879       965.27802 
       113.0000      1005.72119       965.42609 
       114.0000      1005.87360       965.57202 
       115.0000      1006.02600       965.71564 
       116.0000      1006.17841       965.85455 
       117.0000      1006.33081       965.98920 
       118.0000      1006.48322       966.12122 
       119.0000      1006.63562       966.25092 
       120.0000      1006.78802       966.37927 
       121.0000      1006.94043       966.50745 
       122.0000      1007.09277       966.63538 
       123.0000      1007.24518       966.76337 
       124.0000      1007.39758       966.89075 
       125.0000      1007.54999       967.01685 
       126.0000      1007.70239       967.14020 
       127.0000      1007.85480       967.26227 
       128.0000      1008.00720       967.38507 
       129.0000      1008.15961       967.51385 
       130.0000      1008.31201       967.65228 
       131.0000      1008.46442       967.79877 
       132.0000      1008.61682       967.95312 
       133.0000      1008.76923       968.11072 
       134.0000      1008.92157       968.26562 
       135.0000      1009.07397       968.41559 
       136.0000      1009.22638       968.56006 
       137.0000      1009.37878       968.70386 
       138.0000      1009.53119       968.84961 
       139.0000      1009.68359       969.00012 
       140.0000      1009.83600       969.15405 
       141.0000      1009.98840       969.30902 
       142.0000      1010.14081       969.46338 
