   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;3 [   
                3 [A105305]     A105303]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       537.67267       603.58643 
         2.0000       537.80353       603.73883 
         3.0000       537.93689       603.89117 
         4.0000       538.06909       604.04358 
         5.0000       538.19647       604.19598 
         6.0000       538.31879       604.34839 
         7.0000       538.43805       604.50079 
         8.0000       538.55756       604.65320 
         9.0000       538.68555       604.80560 
        10.0000       538.82458       604.95801 
        11.0000       538.97931       605.11041 
        12.0000       539.14825       605.26282 
        13.0000       539.32141       605.41522 
        14.0000       539.49335       605.56763 
        15.0000       539.66016       605.71997 
        16.0000       539.82269       605.87238 
        17.0000       539.98230       606.02478 
        18.0000       540.13849       606.17719 
        19.0000       540.29199       606.32959 
        20.0000       540.44324       606.48199 
        21.0000       540.59143       606.63440 
        22.0000       540.73572       606.78680 
        23.0000       540.87732       606.93921 
        24.0000       541.01636       607.09161 
        25.0000       541.15460       607.24402 
        26.0000       541.29492       607.39642 
        27.0000       541.43976       607.54883 
        28.0000       541.59253       607.70117 
        29.0000       541.75153       607.85358 
        30.0000       541.91388       608.00598 
        31.0000       542.07819       608.15839 
        32.0000       542.24194       608.31079 
        33.0000       542.40460       608.46320 
        34.0000       542.56561       608.61560 
        35.0000       542.72498       608.76801 
        36.0000       542.88342       608.92041 
        37.0000       543.04126       609.07281 
        38.0000       543.19806       609.22522 
        39.0000       543.35376       609.37762 
        40.0000       543.50793       609.53003 
        41.0000       543.65967       609.68237 
        42.0000       543.80963       609.83478 
        43.0000       543.95898       609.98718 
        44.0000       544.10864       610.13959 
        45.0000       544.25922       610.29199 
        46.0000       544.41071       610.44440 
        47.0000       544.56299       610.59680 
        48.0000       544.71625       610.74921 
        49.0000       544.86981       610.90161 
        50.0000       545.02338       611.05402 
        51.0000       545.17438       611.20642 
        52.0000       545.31946       611.35883 
        53.0000       545.45624       611.51123 
        54.0000       545.57928       611.66357 
        55.0000       545.69238       611.81598 
        56.0000       545.80145       611.96838 
        57.0000       545.90802       612.12079 
        58.0000       546.01318       612.27319 
        59.0000       546.11835       612.42560 
        60.0000       546.22498       612.57800 
        61.0000       546.33557       612.73041 
