   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;5 [   
                5 [A108136]     A108134]          
       Unitless              ms               m   
       184.0000       724.89447       801.26959 
       185.0000       724.97144       801.42200 
       186.0000       725.04913       801.57440 
       187.0000       725.12823       801.72681 
       188.0000       725.20953       801.87921 
       189.0000       725.29224       802.03162 
       190.0000       725.37616       802.18402 
       191.0000       725.46155       802.33643 
       192.0000       725.54767       802.48883 
       193.0000       725.63440       802.64117 
       194.0000       725.72180       802.79358 
       195.0000       725.80933       802.94598 
       196.0000       725.89691       803.09839 
       197.0000       725.98431       803.25079 
       198.0000       726.07153       803.40320 
       199.0000       726.15869       803.55560 
       200.0000       726.24603       803.70801 
       201.0000       726.33344       803.86041 
       202.0000       726.42053       804.01282 
       203.0000       726.50708       804.16522 
       204.0000       726.59235       804.31763 
       205.0000       726.67657       804.47003 
       206.0000       726.76038       804.62238 
       207.0000       726.84442       804.77478 
       208.0000       726.92908       804.92719 
       209.0000       727.01404       805.07959 
       210.0000       727.09882       805.23199 
       211.0000       727.18256       805.38440 
       212.0000       727.26532       805.53680 
       213.0000       727.34686       805.68921 
       214.0000       727.42706       805.84161 
       215.0000       727.50665       805.99402 
       216.0000       727.58606       806.14642 
       217.0000       727.66541       806.29883 
       218.0000       727.74500       806.45123 
       219.0000       727.82471       806.60358 
       220.0000       727.90472       806.75598 
       221.0000       727.98523       806.90839 
       222.0000       728.06622       807.06079 
       223.0000       728.14740       807.21320 
       224.0000       728.22864       807.36560 
       225.0000       728.30945       807.51801 
       226.0000       728.38947       807.67041 
       227.0000       728.46771       807.82281 
       228.0000       728.54425       807.97522 
       229.0000       728.61945       808.12762 
       230.0000       728.69281       808.28003 
       231.0000       728.76514       808.43243 
       232.0000       728.83734       808.58478 
       233.0000       728.91125       808.73718 
       234.0000       728.98846       808.88959 
       235.0000       729.06854       809.04199 
       236.0000       729.15106       809.19440 
       237.0000       729.23547       809.34680 
       238.0000       729.32043       809.49921 
       239.0000       729.40527       809.65161 
       240.0000       729.48981       809.80402 
       241.0000       729.57397       809.95642 
       242.0000       729.65771       810.10883 
       243.0000       729.74097       810.26123 
       244.0000       729.82385       810.41357 
       245.0000       729.90662       810.56598 
       246.0000       729.98962       810.71838 
       247.0000       730.07281       810.87079 
       248.0000       730.15576       811.02319 
       249.0000       730.23840       811.17560 
       250.0000       730.32001       811.32800 
       251.0000       730.40094       811.48041 
       252.0000       730.48132       811.63281 
       253.0000       730.56110       811.78522 
       254.0000       730.64062       811.93762 
       255.0000       730.72015       812.09003 
       256.0000       730.79987       812.24243 
       257.0000       730.87946       812.39478 
       258.0000       730.95911       812.54718 
       259.0000       731.03882       812.69958 
       260.0000       731.11902       812.85199 
       261.0000       731.19989       813.00439 
       262.0000       731.28149       813.15680 
       263.0000       731.36426       813.30920 
       264.0000       731.44751       813.46161 
       265.0000       731.53070       813.61401 
       266.0000       731.61334       813.76642 
       267.0000       731.69531       813.91882 
       268.0000       731.77661       814.07123 
       269.0000       731.85760       814.22363 
       270.0000       731.93842       814.37598 
       271.0000       732.01929       814.52838 
       272.0000       732.10034       814.68079 
       273.0000       732.18188       814.83319 
       274.0000       732.26392       814.98560 
       275.0000       732.34650       815.13800 
       276.0000       732.42975       815.29041 
       277.0000       732.51337       815.44281 
       278.0000       732.59711       815.59521 
       279.0000       732.68066       815.74762 
       280.0000       732.76404       815.90002 
       281.0000       732.84723       816.05243 
       282.0000       732.92993       816.20483 
       283.0000       733.01160       816.35718 
       284.0000       733.09210       816.50958 
       285.0000       733.17145       816.66199 
       286.0000       733.24878       816.81439 
       287.0000       733.32501       816.96680 
       288.0000       733.40094       817.11920 
       289.0000       733.47729       817.27161 
       290.0000       733.55432       817.42401 
       291.0000       733.63153       817.57642 
       292.0000       733.70886       817.72882 
       293.0000       733.78693       817.88123 
       294.0000       733.86615       818.03363 
       295.0000       733.94653       818.18597 
       296.0000       734.02747       818.33838 
       297.0000       734.10834       818.49078 
       298.0000       734.18927       818.64319 
       299.0000       734.27051       818.79559 
       300.0000       734.35254       818.94800 
       301.0000       734.43500       819.10040 
       302.0000       734.51837       819.25281 
       303.0000       734.60217       819.40521 
       304.0000       734.68604       819.55762 
       305.0000       734.76996       819.71002 
       306.0000       734.85388       819.86243 
       307.0000       734.93781       820.01483 
       308.0000       735.02161       820.16718 
       309.0000       735.10535       820.31958 
       310.0000       735.18884       820.47198 
       311.0000       735.27197       820.62439 
       312.0000       735.35486       820.77679 
       313.0000       735.43713       820.92920 
       314.0000       735.51910       821.08160 
       315.0000       735.60089       821.23401 
       316.0000       735.68262       821.38641 
       317.0000       735.76434       821.53882 
       318.0000       735.84601       821.69122 
       319.0000       735.92761       821.84363 
       320.0000       736.00922       821.99603 
       321.0000       736.09094       822.14838 
       322.0000       736.17267       822.30078 
       323.0000       736.24255       822.43060 
       324.0000       736.26465       822.45319 
       325.0000       736.41406       822.60559 
       326.0000       736.56348       822.75800 
       327.0000       736.71259       822.91040 
       328.0000       736.86090       823.06281 
       329.0000       737.00800       823.21521 
       330.0000       737.15332       823.36761 
       331.0000       737.29736       823.52002 
       332.0000       737.44055       823.67242 
       333.0000       737.58240       823.82483 
       334.0000       737.72314       823.97723 
       335.0000       737.86285       824.12958 
       336.0000       738.00073       824.28198 
       337.0000       738.13629       824.43439 
       338.0000       738.26978       824.58679 
       339.0000       738.39996       824.73920 
       340.0000       738.52606       824.89160 
       341.0000       738.65015       825.04401 
       342.0000       738.77338       825.19641 
       343.0000       738.89819       825.34882 
       344.0000       739.02570       825.50122 
       345.0000       739.15594       825.65363 
       346.0000       739.28931       825.80603 
       347.0000       739.42303       825.95837 
       348.0000       739.55457       826.11078 
       349.0000       739.67987       826.26318 
       350.0000       739.79797       826.41559 
       351.0000       739.91272       826.56799 
       352.0000       740.02563       826.72040 
       353.0000       740.13611       826.87280 
       354.0000       740.24200       827.02521 
       355.0000       740.34064       827.17761 
       356.0000       740.43079       827.33002 
       357.0000       740.52002       827.48242 
       358.0000       740.61670       827.63483 
       359.0000       740.73279       827.78723 
       360.0000       740.86786       827.93958 
       361.0000       741.01288       828.09198 
       362.0000       741.16498       828.24438 
       363.0000       741.32074       828.39679 
       364.0000       741.47620       828.54919 
       365.0000       741.62909       828.70160 
       366.0000       741.77808       828.85400 
       367.0000       741.92499       829.00641 
       368.0000       742.07104       829.15881 
       369.0000       742.21692       829.31122 
       370.0000       742.36310       829.46362 
       371.0000       742.50989       829.61603 
       372.0000       742.65747       829.76843 
       373.0000       742.80518       829.92078 
       374.0000       742.95239       830.07318 
       375.0000       743.09875       830.22559 
       376.0000       743.24420       830.37799 
       377.0000       743.38971       830.53040 
       378.0000       743.53595       830.68280 
       379.0000       743.68365       830.83521 
       380.0000       743.83301       830.98761 
       381.0000       743.98315       831.14001 
       382.0000       744.13428       831.29242 
       383.0000       744.28644       831.44482 
       384.0000       744.43903       831.59723 
       385.0000       744.59198       831.74963 
       386.0000       744.74463       831.90198 
       387.0000       744.89667       832.05438 
       388.0000       745.04810       832.20679 
       389.0000       745.19861       832.35919 
       390.0000       745.34808       832.51160 
       391.0000       745.49646       832.66400 
       392.0000       745.64294       832.81641 
       393.0000       745.78809       832.96881 
