   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;3 [   
                3 [A98726]      A98724]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       600.09729       624.98413 
         2.0000       738.24121       782.45636 
         3.0000       738.24133       782.45648 
         4.0000       813.39148       859.10596 
         5.0000       894.06757       947.67883 
         6.0000       919.48608       991.96527 
         7.0000       926.55908      1000.15240 
         8.0000       926.70764      1000.30481 
         9.0000       926.84283      1000.45721 
        10.0000       926.96545      1000.60962 
        11.0000       927.07953      1000.76202 
        12.0000       927.19244      1000.91443 
        13.0000       927.31293      1001.06677 
        14.0000       927.44299      1001.21918 
        15.0000       927.58051      1001.37158 
        16.0000       927.72107      1001.52399 
        17.0000       927.85669      1001.67639 
        18.0000       927.98145      1001.82880 
        19.0000       928.09314      1001.98120 
        20.0000       928.19360      1002.13361 
        21.0000       928.28723      1002.28601 
        22.0000       928.37811      1002.43842 
        23.0000       928.46857      1002.59082 
        24.0000       928.56152      1002.74323 
        25.0000       928.66052      1002.89563 
        26.0000       928.76605      1003.04797 
        27.0000       928.87573      1003.20038 
        28.0000       928.98309      1003.35278 
        29.0000       929.08313      1003.50519 
        30.0000       929.17310      1003.65759 
        31.0000       929.25623      1003.81000 
        32.0000       929.34070      1003.96240 
        33.0000       929.43176      1004.11481 
        34.0000       929.52856      1004.26721 
        35.0000       929.62958      1004.41962 
        36.0000       929.73096      1004.57202 
        37.0000       929.83075      1004.72443 
        38.0000       929.92950      1004.87677 
        39.0000       930.02826      1005.02917 
        40.0000       930.12860      1005.18158 
        41.0000       930.23273      1005.33398 
        42.0000       930.34473      1005.48639 
        43.0000       930.46759      1005.63879 
        44.0000       930.59900      1005.79120 
        45.0000       930.73511      1005.94360 
        46.0000       930.87274      1006.09601 
        47.0000       931.00745      1006.24841 
        48.0000       931.13879      1006.40082 
        49.0000       931.26959      1006.55322 
        50.0000       931.40106      1006.70563 
        51.0000       931.53436      1006.85797 
        52.0000       931.67017      1007.01038 
        53.0000       931.80475      1007.16278 
        54.0000       931.93433      1007.31519 
        55.0000       932.06055      1007.46759 
        56.0000       932.18750      1007.62000 
        57.0000       932.31750      1007.77240 
        58.0000       932.45117      1007.92480 
