   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;2 [   
                2 [A99667]      A99665]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       548.55817       501.13739 
         2.0000       548.72400       501.28979 
         3.0000       548.88458       501.44220 
         4.0000       549.04352       501.59457 
         5.0000       549.20648       501.74698 
         6.0000       549.37640       501.89938 
         7.0000       549.54889       502.05179 
         8.0000       549.72144       502.20419 
         9.0000       549.89368       502.35660 
        10.0000       550.06183       502.50897 
        11.0000       550.22650       502.66138 
        12.0000       550.38824       502.81378 
        13.0000       550.54425       502.96619 
        14.0000       550.69568       503.11859 
        15.0000       550.84760       503.27100 
        16.0000       551.00183       503.42337 
        17.0000       551.15863       503.57578 
        18.0000       551.32037       503.72818 
        19.0000       551.48291       503.88058 
        20.0000       551.64093       504.03299 
        21.0000       551.79614       504.18539 
        22.0000       551.94672       504.33780 
        23.0000       552.09265       504.49017 
        24.0000       552.23779       504.64258 
        25.0000       552.38184       504.79498 
        26.0000       552.52667       504.94739 
        27.0000       552.67731       505.09979 
        28.0000       552.83923       505.25220 
        29.0000       553.01190       505.40457 
        30.0000       553.19299       505.55698 
        31.0000       553.37823       505.70938 
        32.0000       553.56177       505.86179 
        33.0000       553.74249       506.01419 
        34.0000       553.92108       506.16660 
        35.0000       554.09644       506.31900 
        36.0000       554.26947       506.47137 
        37.0000       554.44043       506.62378 
        38.0000       554.61017       506.77618 
        39.0000       554.77875       506.92859 
        40.0000       554.94415       507.08099 
        41.0000       555.10620       507.23340 
        42.0000       555.26434       507.38577 
        43.0000       555.42096       507.53818 
        44.0000       555.57825       507.69058 
        45.0000       555.73712       507.84299 
        46.0000       555.89935       507.99539 
        47.0000       556.06824       508.14780 
        48.0000       556.24274       508.30017 
        49.0000       556.41626       508.45258 
        50.0000       556.58118       508.60498 
        51.0000       556.73352       508.75739 
        52.0000       556.87939       508.90979 
        53.0000       557.02850       509.06219 
        54.0000       557.18811       509.21460 
        55.0000       557.35602       509.36697 
        56.0000       557.52148       509.51938 
        57.0000       557.67633       509.67178 
        58.0000       557.81866       509.82419 
        59.0000       557.94891       509.97659 
        60.0000       558.07007       510.12900 
        61.0000       558.19049       510.28137 
