   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A96215]         2 [A96217]        
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       487.00800       511.18619 
         2.0000       487.16040       511.32703 
         3.0000       487.31281       511.46429 
         4.0000       487.46521       511.60223 
         5.0000       487.61761       511.74481 
         6.0000       487.76999       511.89380 
         7.0000       487.92239       512.04840 
         8.0000       488.07480       512.20605 
         9.0000       488.22720       512.36371 
        10.0000       488.37961       512.51898 
        11.0000       488.53201       512.67023 
        12.0000       488.68439       512.81677 
        13.0000       488.83679       512.95917 
        14.0000       488.98920       513.09949 
        15.0000       489.14160       513.24036 
        16.0000       489.29401       513.38416 
        17.0000       489.44641       513.53198 
        18.0000       489.59882       513.68201 
        19.0000       489.75119       513.83167 
        20.0000       489.90359       513.97839 
        21.0000       490.05600       514.12170 
        22.0000       490.20840       514.26318 
        23.0000       490.36081       514.40472 
        24.0000       490.51321       514.54724 
        25.0000       490.66559       514.69055 
        26.0000       490.81799       514.83368 
        27.0000       490.97040       514.97620 
        28.0000       491.12280       515.11865 
        29.0000       491.27521       515.26239 
        30.0000       491.42761       515.40820 
        31.0000       491.57999       515.55701 
        32.0000       491.73239       515.70892 
        33.0000       491.88480       515.86365 
        34.0000       492.03720       516.02118 
        35.0000       492.18961       516.18097 
        36.0000       492.34201       516.34271 
        37.0000       492.49442       516.50568 
        38.0000       492.64679       516.66919 
        39.0000       492.79919       516.83331 
        40.0000       492.95160       516.99750 
        41.0000       493.10400       517.16211 
        42.0000       493.25641       517.32654 
        43.0000       493.40881       517.49060 
        44.0000       493.56119       517.65405 
        45.0000       493.71359       517.81628 
        46.0000       493.86600       517.97717 
        47.0000       494.01840       518.13672 
        48.0000       494.17081       518.29498 
        49.0000       494.32321       518.45233 
        50.0000       494.47559       518.60913 
        51.0000       494.62799       518.76575 
        52.0000       494.78040       518.92273 
        53.0000       494.93280       519.08020 
        54.0000       495.08521       519.23804 
        55.0000       495.23761       519.39581 
        56.0000       495.39001       519.55310 
        57.0000       495.54239       519.70929 
        58.0000       495.69479       519.86426 
        59.0000       495.84720       520.01813 
        60.0000       495.99960       520.17145 
        61.0000       496.15201       520.32458 
        62.0000       496.30441       520.47797 
        63.0000       496.45679       520.63135 
        64.0000       496.60919       520.78430 
        65.0000       496.76160       520.93622 
        66.0000       496.91400       521.08600 
        67.0000       497.06641       521.23303 
        68.0000       497.21881       521.37665 
        69.0000       497.37122       521.51733 
        70.0000       497.52359       521.65601 
        71.0000       497.67599       521.79376 
        72.0000       497.82840       521.93176 
        73.0000       497.98080       522.07037 
        74.0000       498.13321       522.20990 
        75.0000       498.28561       522.35040 
        76.0000       498.43799       522.49213 
        77.0000       498.59039       522.63556 
        78.0000       498.74280       522.78107 
        79.0000       498.89520       522.92859 
        80.0000       499.04761       523.07855 
        81.0000       499.20001       523.23175 
        82.0000       499.35239       523.38928 
        83.0000       499.50479       523.55127 
        84.0000       499.65720       523.71637 
        85.0000       499.80960       523.88226 
        86.0000       499.96201       524.04718 
        87.0000       500.11441       524.20990 
        88.0000       500.26682       524.37067 
        89.0000       500.41919       524.52948 
        90.0000       500.57159       524.68677 
        91.0000       500.72400       524.84180 
        92.0000       500.87640       524.99408 
        93.0000       501.02881       525.14307 
        94.0000       501.18121       525.28906 
        95.0000       501.33359       525.43274 
        96.0000       501.48599       525.57513 
        97.0000       501.63840       525.71735 
        98.0000       501.79080       525.85986 
        99.0000       501.94321       526.00317 
       100.0000       502.09561       526.14777 
       101.0000       502.24799       526.29425 
       102.0000       502.40039       526.44312 
       103.0000       502.55280       526.59467 
       104.0000       502.60345       526.64563 
       105.0000       502.70520       526.75177 
       106.0000       502.85760       526.91144 
       107.0000       503.01001       527.06989 
       108.0000       503.16241       527.22571 
       109.0000       503.31479       527.37830 
       110.0000       503.46719       527.52783 
       111.0000       503.61960       527.67517 
       112.0000       503.77200       527.82141 
       113.0000       503.92441       527.96832 
       114.0000       504.07681       528.11786 
       115.0000       504.22919       528.27112 
       116.0000       504.38159       528.42816 
       117.0000       504.53400       528.58759 
       118.0000       504.68640       528.74786 
       119.0000       504.83881       528.90796 
       120.0000       504.99121       529.06738 
       121.0000       505.14362       529.22668 
       122.0000       505.29599       529.38623 
       123.0000       505.44839       529.54608 
       124.0000       505.60080       529.70612 
       125.0000       505.75320       529.86560 
       126.0000       505.90561       530.02380 
       127.0000       506.05801       530.18054 
       128.0000       506.21039       530.33557 
       129.0000       506.36279       530.48865 
       130.0000       506.51520       530.64062 
       131.0000       506.66760       530.79181 
       132.0000       506.82001       530.94275 
       133.0000       506.97241       531.09363 
       134.0000       507.12479       531.24377 
       135.0000       507.27719       531.39355 
       136.0000       507.42960       531.54352 
       137.0000       507.58200       531.69470 
       138.0000       507.73441       531.84821 
       139.0000       507.88681       532.00391 
       140.0000       508.03922       532.16113 
       141.0000       508.19159       532.31836 
       142.0000       508.34399       532.47449 
       143.0000       508.49640       532.62891 
       144.0000       508.64880       532.78180 
       145.0000       508.80121       532.93372 
