   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;3 [   
                3 [A107883]     A107881]          
       Unitless              ms               m   
       165.0000      1514.25928      1687.31726 
       166.0000      1514.36267      1687.46960 
       167.0000      1514.46655      1687.62195 
       168.0000      1514.57141      1687.77441 
       169.0000      1514.67737      1687.92676 
       170.0000      1514.78455      1688.07922 
       171.0000      1514.89233      1688.23157 
       172.0000      1514.99988      1688.38403 
       173.0000      1515.10571      1688.53638 
       174.0000      1515.20886      1688.68884 
       175.0000      1515.31067      1688.84119 
       176.0000      1515.41223      1688.99365 
       177.0000      1515.51501      1689.14600 
       178.0000      1515.61914      1689.29834 
       179.0000      1515.72473      1689.45081 
       180.0000      1515.83215      1689.60315 
       181.0000      1515.94006      1689.75562 
       182.0000      1516.04834      1689.90796 
       183.0000      1516.15613      1690.06042 
       184.0000      1516.26282      1690.21277 
       185.0000      1516.36841      1690.36523 
       186.0000      1516.47314      1690.51758 
       187.0000      1516.57690      1690.67004 
       188.0000      1516.68005      1690.82239 
       189.0000      1516.78235      1690.97485 
       190.0000      1516.88379      1691.12720 
       191.0000      1516.98511      1691.27954 
       192.0000      1517.08728      1691.43201 
       193.0000      1517.19141      1691.58435 
       194.0000      1517.29749      1691.73682 
       195.0000      1517.40369      1691.88916 
       196.0000      1517.50903      1692.04163 
       197.0000      1517.61182      1692.19397 
       198.0000      1517.71387      1692.34644 
       199.0000      1517.81506      1692.49878 
       200.0000      1517.91479      1692.65125 
       201.0000      1518.01367      1692.80359 
       202.0000      1518.11267      1692.95605 
       203.0000      1518.21326      1693.10840 
       204.0000      1518.31592      1693.26074 
       205.0000      1518.41956      1693.41321 
       206.0000      1518.52307      1693.56555 
       207.0000      1518.62561      1693.71802 
       208.0000      1518.72729      1693.87036 
       209.0000      1518.82849      1694.02283 
       210.0000      1518.93066      1694.17517 
       211.0000      1519.03333      1694.32764 
       212.0000      1519.13647      1694.47998 
       213.0000      1519.23975      1694.63245 
       214.0000      1519.34314      1694.78479 
       215.0000      1519.44641      1694.93726 
       216.0000      1519.54944      1695.08960 
       217.0000      1519.65210      1695.24194 
       218.0000      1519.75500      1695.39441 
       219.0000      1519.85852      1695.54675 
       220.0000      1519.96350      1695.69922 
       221.0000      1520.06909      1695.85156 
       222.0000      1520.17468      1696.00403 
       223.0000      1520.27832      1696.15637 
       224.0000      1520.38074      1696.30884 
       225.0000      1520.48254      1696.46118 
       226.0000      1520.58386      1696.61365 
       227.0000      1520.68433      1696.76599 
       228.0000      1520.78247      1696.91846 
       229.0000      1520.87817      1697.07080 
       230.0000      1520.97302      1697.22314 
       231.0000      1521.07007      1697.37561 
       232.0000      1521.17065      1697.52795 
       233.0000      1521.27795      1697.68042 
       234.0000      1521.38818      1697.83276 
       235.0000      1521.49976      1697.98523 
       236.0000      1521.61047      1698.13757 
       237.0000      1521.71936      1698.29004 
       238.0000      1521.82666      1698.44238 
       239.0000      1521.93335      1698.59485 
       240.0000      1522.03979      1698.74719 
       241.0000      1522.14673      1698.89966 
       242.0000      1522.25403      1699.05200 
       243.0000      1522.36292      1699.20435 
       244.0000      1522.47253      1699.35681 
       245.0000      1522.58276      1699.50916 
       246.0000      1522.69299      1699.66162 
       247.0000      1522.80334      1699.81396 
       248.0000      1522.91357      1699.96643 
       249.0000      1523.02356      1700.11877 
       250.0000      1523.13306      1700.27124 
       251.0000      1523.24170      1700.42358 
       252.0000      1523.35022      1700.57605 
       253.0000      1523.45886      1700.72839 
