   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;5 [   
                5 [A101818]     A101816]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       470.73105       437.92560 
         2.0000       470.75113       438.07800 
         3.0000       470.78021       438.23041 
         4.0000       470.81046       438.38281 
         5.0000       470.83670       438.53522 
         6.0000       470.85696       438.68762 
         7.0000       470.87451       438.84000 
         8.0000       470.89417       438.99240 
         9.0000       470.92047       439.14481 
        10.0000       470.95752       439.29721 
        11.0000       471.00519       439.44962 
        12.0000       471.05728       439.60202 
        13.0000       471.10938       439.75439 
        14.0000       471.15814       439.90680 
        15.0000       471.19473       440.05920 
        16.0000       471.72437       449.05081 
        17.0000       471.74551       450.72720 
        18.0000       471.74725       450.87961 
        19.0000       471.77130       451.48920 
        20.0000       471.77267       451.64160 
        21.0000       471.80185       451.79401 
        22.0000       471.84549       451.94641 
        23.0000       471.88367       452.09882 
        24.0000       471.91345       452.25122 
        25.0000       471.93600       452.40359 
        26.0000       471.95383       452.55600 
        27.0000       471.97668       452.70840 
        28.0000       472.01437       452.86081 
        29.0000       472.07150       453.01321 
        30.0000       472.15332       453.16562 
        31.0000       472.26520       453.31802 
        32.0000       472.40268       453.47040 
        33.0000       472.55417       453.62280 
        34.0000       472.70953       453.77521 
        35.0000       472.86343       453.92761 
        36.0000       473.01437       454.08002 
        37.0000       473.16348       454.23242 
        38.0000       473.31192       454.38480 
        39.0000       473.46033       454.53720 
        40.0000       473.60870       454.68961 
        41.0000       473.75696       454.84201 
        42.0000       473.90527       454.99442 
        43.0000       474.05383       455.14682 
        44.0000       474.20267       455.29919 
        45.0000       474.35168       455.45160 
        46.0000       474.50079       455.60400 
        47.0000       474.65002       455.75641 
        48.0000       474.79932       455.90881 
        49.0000       474.94885       456.06122 
        50.0000       475.09900       456.21362 
        51.0000       475.24966       456.36600 
        52.0000       475.40033       456.51840 
        53.0000       475.55084       456.67081 
        54.0000       475.70178       456.82321 
        55.0000       475.85370       456.97562 
        56.0000       476.00616       457.12802 
        57.0000       476.15793       457.28040 
        58.0000       476.30786       457.43280 
        59.0000       476.45502       457.58521 
        60.0000       476.59885       457.73761 
        61.0000       476.73993       457.89001 
