   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                4 [A107735]     A107733]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       678.49347       692.76373 
         2.0000       720.31842       738.68274 
         3.0000       759.91260       785.54510 
         4.0000       901.70801       942.88055 
         5.0000       910.08582       953.45886 
         6.0000      1000.55157      1044.84106 
         7.0000      1081.39331      1169.76221 
         8.0000      1097.30469      1189.85278 
         9.0000      1097.30481      1189.85291 
        10.0000      1139.06750      1242.76233 
        11.0000      1261.62537      1399.01001 
        12.0000      1261.62549      1399.01013 
        13.0000      1275.91174      1417.67090 
        14.0000      1364.35779      1543.18799 
        15.0000      1407.61365      1594.21497 
        16.0000      1477.16101      1689.79089 
        17.0000      1805.77783      2145.26416 
        18.0000      1805.77795      2145.26440 
        19.0000      1941.10095      2365.13647 
        20.0000      2173.08643      2727.67847 
        21.0000      2173.13062      2727.83081 
        22.0000      2173.17456      2727.98315 
        23.0000      2173.21875      2728.13550 
        24.0000      2173.26294      2728.28809 
        25.0000      2173.30688      2728.44043 
        26.0000      2173.35107      2728.59277 
        27.0000      2173.39551      2728.74512 
        28.0000      2173.43945      2728.89771 
        29.0000      2173.48364      2729.05005 
        30.0000      2173.52783      2729.20239 
        31.0000      2173.57178      2729.35474 
        32.0000      2173.61621      2729.50708 
        33.0000      2173.66016      2729.65967 
        34.0000      2173.70435      2729.81201 
        35.0000      2173.74854      2729.96436 
        36.0000      2173.79248      2730.11670 
        37.0000      2173.83667      2730.26929 
        38.0000      2173.88086      2730.42163 
        39.0000      2173.92480      2730.57397 
        40.0000      2173.96924      2730.72632 
        41.0000      2174.01343      2730.87891 
        42.0000      2174.05737      2731.03125 
        43.0000      2174.10156      2731.18359 
        44.0000      2174.14575      2731.33594 
        45.0000      2174.18970      2731.48828 
        46.0000      2174.23389      2731.64087 
        47.0000      2174.27832      2731.79321 
        48.0000      2174.32227      2731.94556 
        49.0000      2174.36646      2732.09790 
        50.0000      2174.41064      2732.25049 
        51.0000      2174.45459      2732.40283 
        52.0000      2174.49878      2732.55518 
        53.0000      2174.54321      2732.70752 
        54.0000      2174.58716      2732.86011 
        55.0000      2174.63135      2733.01245 
