   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                4 [A108020]     A108018]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       321.72205       315.45575 
         2.0000       321.76242       315.50565 
         3.0000       321.76245       315.50568 
         4.0000       342.69638       366.71213 
         5.0000       343.82227       368.48257 
         6.0000       364.23267       394.71088 
         7.0000       364.40567       394.96561 
         8.0000       396.96954       428.66882 
         9.0000       424.41223       469.20047 
        10.0000       425.65677       470.65341 
        11.0000       489.41403       533.24567 
