   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                4 [A102181]     A102179]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       188.25221       238.65240 
         2.0000       188.29333       238.80479 
         3.0000       188.33449       238.95720 
         4.0000       188.37564       239.10960 
         5.0000       188.43248       239.26199 
         6.0000       188.49139       239.41440 
         7.0000       188.55016       239.56680 
         8.0000       188.60876       239.71919 
         9.0000       188.66736       239.87160 
        10.0000       188.72591       240.02400 
        11.0000       188.78441       240.17641 
        12.0000       188.84290       240.32880 
        13.0000       188.90137       240.48120 
        14.0000       188.95987       240.63361 
        15.0000       189.01840       240.78600 
        16.0000       189.07693       240.93840 
        17.0000       189.13547       241.09081 
        18.0000       189.19394       241.24319 
        19.0000       189.25241       241.39560 
        20.0000       189.31087       241.54800 
        21.0000       189.36934       241.70039 
        22.0000       189.42784       241.85280 
        23.0000       189.48643       242.00520 
        24.0000       189.54503       242.15759 
        25.0000       189.60361       242.31000 
        26.0000       189.66216       242.46240 
        27.0000       189.72069       242.61481 
        28.0000       189.77922       242.76720 
        29.0000       189.83778       242.91960 
        30.0000       189.89639       243.07201 
        31.0000       189.95505       243.22440 
        32.0000       190.01373       243.37680 
        33.0000       190.07243       243.52921 
        34.0000       190.13120       243.68159 
        35.0000       190.18994       243.83400 
        36.0000       190.24869       243.98640 
        37.0000       190.30739       244.13879 
        38.0000       190.36617       244.29120 
        39.0000       190.42493       244.44360 
        40.0000       190.48372       244.59599 
        41.0000       190.54247       244.74840 
        42.0000       190.60114       244.90080 
        43.0000       190.65979       245.05321 
        44.0000       190.71837       245.20560 
        45.0000       190.77695       245.35800 
        46.0000       190.83560       245.51041 
        47.0000       190.89423       245.66280 
        48.0000       190.95287       245.81520 
        49.0000       191.01146       245.96761 
        50.0000       191.07007       246.12000 
        51.0000       191.12880       246.27240 
        52.0000       191.18764       246.42480 
        53.0000       191.24652       246.57719 
        54.0000       191.30537       246.72960 
        55.0000       191.36418       246.88200 
        56.0000       191.42299       247.03439 
        57.0000       191.48167       247.18680 
        58.0000       191.54024       247.33920 
        59.0000       191.59872       247.49161 
        60.0000       191.65720       247.64400 
        61.0000       191.71587       247.79640 
