   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                3 [A107194]     A107192]          
       Unitless              ms               m   
       164.0000      1328.68970      1477.47351 
       165.0000      1328.83948      1477.62585 
       166.0000      1328.99182      1477.77820 
       167.0000      1329.14136      1477.93066 
       168.0000      1329.28345      1478.08301 
       169.0000      1329.41528      1478.23547 
       170.0000      1329.53674      1478.38782 
       171.0000      1329.65039      1478.54028 
       172.0000      1329.76025      1478.69263 
       173.0000      1329.87061      1478.84509 
       174.0000      1329.98596      1478.99744 
       175.0000      1330.11023      1479.14990 
       176.0000      1330.24463      1479.30225 
       177.0000      1330.38794      1479.45471 
       178.0000      1330.53638      1479.60706 
       179.0000      1330.68542      1479.75940 
       180.0000      1330.83105      1479.91187 
       181.0000      1330.97205      1480.06421 
       182.0000      1331.10815      1480.21667 
       183.0000      1331.23987      1480.36902 
       184.0000      1331.36707      1480.52148 
       185.0000      1331.48950      1480.67383 
       186.0000      1331.60706      1480.82629 
       187.0000      1331.72009      1480.97864 
       188.0000      1331.82996      1481.13110 
       189.0000      1331.93945      1481.28345 
       190.0000      1332.05054      1481.43591 
       191.0000      1332.16443      1481.58826 
       192.0000      1332.28064      1481.74060 
       193.0000      1332.39758      1481.89307 
       194.0000      1332.51367      1482.04541 
       195.0000      1332.62830      1482.19788 
       196.0000      1332.74207      1482.35022 
       197.0000      1332.85706      1482.50269 
       198.0000      1332.97485      1482.65503 
       199.0000      1333.09558      1482.80750 
       200.0000      1333.21667      1482.95984 
       201.0000      1333.33557      1483.11230 
       202.0000      1333.45117      1483.26465 
       203.0000      1333.56555      1483.41711 
       204.0000      1333.68237      1483.56946 
       205.0000      1333.80444      1483.72180 
       206.0000      1333.93262      1483.87427 
       207.0000      1334.06543      1484.02661 
       208.0000      1334.19897      1484.17908 
       209.0000      1334.32922      1484.33142 
       210.0000      1334.45300      1484.48389 
       211.0000      1334.56934      1484.63623 
       212.0000      1334.67993      1484.78870 
       213.0000      1334.78809      1484.94104 
       214.0000      1334.89624      1485.09351 
       215.0000      1335.00635      1485.24585 
       216.0000      1335.11951      1485.39832 
       217.0000      1335.23645      1485.55066 
       218.0000      1335.35803      1485.70300 
       219.0000      1335.48499      1485.85547 
       220.0000      1335.61755      1486.00781 
       221.0000      1335.75562      1486.16028 
       222.0000      1335.89832      1486.31262 
       223.0000      1336.04395      1486.46509 
       224.0000      1336.18945      1486.61743 
       225.0000      1336.33105      1486.76990 
       226.0000      1336.46509      1486.92224 
       227.0000      1336.59058      1487.07471 
       228.0000      1336.70874      1487.22705 
       229.0000      1336.82446      1487.37952 
       230.0000      1336.94299      1487.53186 
       231.0000      1337.06726      1487.68420 
       232.0000      1337.19580      1487.83667 
       233.0000      1337.32471      1487.98901 
       234.0000      1337.45007      1488.14148 
       235.0000      1337.57043      1488.29382 
       236.0000      1337.68738      1488.44629 
       237.0000      1337.80420      1488.59863 
       238.0000      1337.92419      1488.75110 
       239.0000      1338.05054      1488.90344 
       240.0000      1338.18408      1489.05591 
       241.0000      1338.32422      1489.20825 
       242.0000      1338.46826      1489.36072 
       243.0000      1338.61353      1489.51306 
       244.0000      1338.75781      1489.66541 
       245.0000      1338.90039      1489.81787 
       246.0000      1339.04016      1489.97021 
       247.0000      1339.17603      1490.12268 
       248.0000      1339.30737      1490.27502 
       249.0000      1339.43579      1490.42749 
       250.0000      1339.56470      1490.57983 
       251.0000      1339.69739      1490.73230 
       252.0000      1339.83521      1490.88464 
       253.0000      1339.97656      1491.03711 
       254.0000      1340.11877      1491.18945 
       255.0000      1340.26013      1491.34192 
       256.0000      1340.40063      1491.49426 
       257.0000      1340.54102      1491.64661 
       258.0000      1340.68213      1491.79907 
       259.0000      1340.82458      1491.95142 
       260.0000      1340.96826      1492.10388 
       261.0000      1341.11328      1492.25623 
       262.0000      1341.25940      1492.40869 
       263.0000      1341.40625      1492.56104 
       264.0000      1341.55347      1492.71350 
       265.0000      1341.70081      1492.86584 
       266.0000      1341.84766      1493.01831 
       267.0000      1341.99182      1493.17065 
       268.0000      1342.13025      1493.32300 
       269.0000      1342.26135      1493.47546 
       270.0000      1342.38428      1493.62781 
       271.0000      1342.50134      1493.78027 
       272.0000      1342.61572      1493.93262 
       273.0000      1342.73218      1494.08508 
       274.0000      1342.85413      1494.23743 
       275.0000      1342.98352      1494.38989 
       276.0000      1343.11951      1494.54224 
       277.0000      1343.25928      1494.69470 
       278.0000      1343.39917      1494.84705 
       279.0000      1343.53503      1494.99951 
       280.0000      1343.66492      1495.15186 
       281.0000      1343.79041      1495.30420 
       282.0000      1343.91479      1495.45667 
       283.0000      1344.04163      1495.60901 
       284.0000      1344.17285      1495.76147 
       285.0000      1344.30884      1495.91382 
       286.0000      1344.44775      1496.06628 
       287.0000      1344.58777      1496.21863 
       288.0000      1344.72791      1496.37109 
       289.0000      1344.86694      1496.52344 
       290.0000      1345.00342      1496.67590 
       291.0000      1345.13452      1496.82825 
       292.0000      1345.25623      1496.98071 
       293.0000      1345.36597      1497.13306 
       294.0000      1345.46497      1497.28540 
       295.0000      1345.55933      1497.43787 
       296.0000      1345.65698      1497.59021 
       297.0000      1345.76221      1497.74268 
       298.0000      1345.87598      1497.89502 
       299.0000      1345.99548      1498.04749 
       300.0000      1346.11768      1498.19983 
       301.0000      1346.24023      1498.35229 
       302.0000      1346.36060      1498.50464 
       303.0000      1346.47559      1498.65710 
       304.0000      1346.58496      1498.80945 
       305.0000      1346.69006      1498.96191 
       306.0000      1346.79492      1499.11426 
       307.0000      1346.90320      1499.26660 
       308.0000      1347.01587      1499.41907 
       309.0000      1347.13159      1499.57141 
       310.0000      1347.24792      1499.72388 
       311.0000      1347.36304      1499.87622 
       312.0000      1347.47583      1500.02869 
       313.0000      1347.58655      1500.18103 
       314.0000      1347.69507      1500.33350 
       315.0000      1347.80225      1500.48584 
       316.0000      1347.90881      1500.63831 
       317.0000      1348.01587      1500.79065 
       318.0000      1348.12366      1500.94312 
       319.0000      1348.23218      1501.09546 
       320.0000      1348.34082      1501.24780 
       321.0000      1348.44946      1501.40027 
       322.0000      1348.55774      1501.55261 
       323.0000      1348.66589      1501.70508 
       324.0000      1348.77429      1501.85742 
       325.0000      1348.88379      1502.00989 
       326.0000      1348.99475      1502.16223 
       327.0000      1349.10669      1502.31470 
       328.0000      1349.21899      1502.46704 
       329.0000      1349.33105      1502.61951 
       330.0000      1349.44275      1502.77185 
       331.0000      1349.55432      1502.92432 
