   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;2 [   
                2 [A98703]      A98701]           
       Unitless              ms               m   
       164.0000      1207.72314      1282.44836 
       165.0000      1207.85046      1282.60083 
       166.0000      1207.97290      1282.75317 
       167.0000      1208.09448      1282.90564 
       168.0000      1208.21802      1283.05798 
       169.0000      1208.34351      1283.21045 
       170.0000      1208.47131      1283.36279 
       171.0000      1208.60034      1283.51526 
       172.0000      1208.73120      1283.66760 
       173.0000      1208.86475      1283.81995 
       174.0000      1208.99988      1283.97241 
       175.0000      1209.13464      1284.12476 
       176.0000      1209.26880      1284.27722 
       177.0000      1209.40125      1284.42957 
       178.0000      1209.53345      1284.58203 
       179.0000      1209.66577      1284.73438 
       180.0000      1209.79883      1284.88684 
       181.0000      1209.93127      1285.03918 
       182.0000      1210.06030      1285.19165 
       183.0000      1210.18213      1285.34399 
       184.0000      1210.29797      1285.49646 
       185.0000      1210.41016      1285.64880 
       186.0000      1210.52515      1285.80115 
       187.0000      1210.64685      1285.95361 
       188.0000      1210.77551      1286.10596 
       189.0000      1210.90979      1286.25842 
       190.0000      1211.04578      1286.41077 
       191.0000      1211.17908      1286.56323 
       192.0000      1211.31128      1286.71558 
       193.0000      1211.44470      1286.86804 
       194.0000      1211.58252      1287.02039 
       195.0000      1211.72681      1287.17285 
       196.0000      1211.87891      1287.32520 
       197.0000      1212.03772      1287.47766 
       198.0000      1212.19934      1287.63000 
       199.0000      1212.36426      1287.78235 
       200.0000      1212.52991      1287.93481 
       201.0000      1212.69458      1288.08716 
       202.0000      1212.85547      1288.23962 
       203.0000      1213.01074      1288.39197 
       204.0000      1213.16089      1288.54443 
       205.0000      1213.30530      1288.69678 
       206.0000      1213.44263      1288.84924 
       207.0000      1213.57434      1289.00159 
       208.0000      1213.70166      1289.15405 
       209.0000      1213.82312      1289.30640 
       210.0000      1213.93921      1289.45874 
       211.0000      1214.05127      1289.61121 
       212.0000      1214.15906      1289.76355 
       213.0000      1214.26416      1289.91602 
       214.0000      1214.37024      1290.06836 
       215.0000      1214.47998      1290.22083 
       216.0000      1214.59619      1290.37317 
       217.0000      1214.71948      1290.52563 
       218.0000      1214.85095      1290.67798 
       219.0000      1214.99219      1290.83044 
       220.0000      1215.13867      1290.98279 
       221.0000      1215.28369      1291.13525 
       222.0000      1215.42029      1291.28760 
       223.0000      1215.54736      1291.43994 
       224.0000      1215.67029      1291.59241 
       225.0000      1215.79041      1291.74475 
       226.0000      1215.90930      1291.89722 
       227.0000      1216.02771      1292.04956 
       228.0000      1216.14539      1292.20203 
       229.0000      1216.26233      1292.35437 
       230.0000      1216.37915      1292.50684 
       231.0000      1216.49927      1292.65918 
       232.0000      1216.62964      1292.81165 
       233.0000      1216.77002      1292.96399 
       234.0000      1216.91711      1293.11646 
       235.0000      1217.06787      1293.26880 
       236.0000      1217.21912      1293.42114 
       237.0000      1217.36963      1293.57361 
       238.0000      1217.52124      1293.72595 
       239.0000      1217.67371      1293.87842 
       240.0000      1217.82764      1294.03076 
       241.0000      1217.98315      1294.18323 
       242.0000      1218.14075      1294.33557 
       243.0000      1218.29993      1294.48804 
       244.0000      1218.45911      1294.64038 
       245.0000      1218.61804      1294.79285 
       246.0000      1218.75793      1294.92871 
       247.0000      1218.75818      1294.92883 
       248.0000      1218.76941      1294.94519 
       249.0000      1218.87195      1295.09766 
       250.0000      1218.96765      1295.25000 
       251.0000      1219.05188      1295.40234 
       252.0000      1219.12769      1295.55481 
       253.0000      1219.19604      1295.70715 
       254.0000      1219.26025      1295.85962 
       255.0000      1219.32349      1296.01196 
       256.0000      1219.38708      1296.16443 
       257.0000      1219.44946      1296.31677 
       258.0000      1219.51038      1296.46924 
       259.0000      1219.56897      1296.62158 
       260.0000      1219.62610      1296.77405 
       261.0000      1219.68542      1296.92639 
       262.0000      1219.74780      1297.07886 
       263.0000      1219.81567      1297.23120 
       264.0000      1219.88867      1297.38354 
       265.0000      1219.96277      1297.53601 
       266.0000      1220.03687      1297.68835 
       267.0000      1220.11023      1297.84082 
       268.0000      1220.18457      1297.99316 
       269.0000      1220.26160      1298.14563 
       270.0000      1220.34302      1298.29797 
       271.0000      1220.42737      1298.45044 
       272.0000      1220.51245      1298.60278 
       273.0000      1220.59729      1298.75525 
       274.0000      1220.68103      1298.90759 
       275.0000      1220.76428      1299.06006 
       276.0000      1220.84705      1299.21240 
       277.0000      1220.92798      1299.36475 
       278.0000      1221.00781      1299.51721 
       279.0000      1221.08691      1299.66956 
       280.0000      1221.16895      1299.82202 
       281.0000      1221.25586      1299.97437 
       282.0000      1221.34802      1300.12683 
       283.0000      1221.44446      1300.27917 
       284.0000      1221.54272      1300.43164 
       285.0000      1221.64050      1300.58398 
       286.0000      1221.73621      1300.73645 
       287.0000      1221.82910      1300.88879 
       288.0000      1221.91943      1301.04126 
       289.0000      1222.00671      1301.19360 
       290.0000      1222.09131      1301.34595 
       291.0000      1222.17480      1301.49841 
       292.0000      1222.25916      1301.65076 
       293.0000      1222.34534      1301.80322 
       294.0000      1222.43213      1301.95557 
       295.0000      1222.51917      1302.10803 
       296.0000      1222.60657      1302.26038 
       297.0000      1222.69568      1302.41284 
       298.0000      1222.78748      1302.56519 
       299.0000      1222.88391      1302.71765 
       300.0000      1222.98608      1302.87000 
       301.0000      1223.09167      1303.02246 
       302.0000      1223.19971      1303.17480 
       303.0000      1223.30811      1303.32715 
       304.0000      1223.41504      1303.47961 
       305.0000      1223.51917      1303.63196 
       306.0000      1223.61963      1303.78442 
       307.0000      1223.71643      1303.93677 
       308.0000      1223.81104      1304.08923 
       309.0000      1223.90344      1304.24158 
       310.0000      1223.99365      1304.39404 
       311.0000      1224.08301      1304.54639 
       312.0000      1224.17139      1304.69885 
       313.0000      1224.25793      1304.85120 
       314.0000      1224.34265      1305.00366 
       315.0000      1224.42590      1305.15601 
       316.0000      1224.50842      1305.30835 
       317.0000      1224.59265      1305.46082 
       318.0000      1224.67908      1305.61316 
       319.0000      1224.76636      1305.76562 
       320.0000      1224.85266      1305.91797 
       321.0000      1224.93542      1306.07043 
       322.0000      1225.01379      1306.22278 
       323.0000      1225.08887      1306.37524 
       324.0000      1225.16296      1306.52759 
       325.0000      1225.23804      1306.68005 
       326.0000      1225.31494      1306.83240 
       327.0000      1225.39355      1306.98474 
       328.0000      1225.47327      1307.13721 
       329.0000      1225.55530      1307.28955 
       330.0000      1225.63940      1307.44202 
       331.0000      1225.72424      1307.59436 
       332.0000      1225.80859      1307.74683 
       333.0000      1225.88953      1307.89917 
       334.0000      1225.96899      1308.05164 
       335.0000      1226.04688      1308.20398 
       336.0000      1226.12439      1308.35645 
       337.0000      1226.20178      1308.50879 
       338.0000      1226.27869      1308.66125 
       339.0000      1226.35559      1308.81360 
       340.0000      1226.43201      1308.96594 
       341.0000      1226.50842      1309.11841 
       342.0000      1226.58447      1309.27075 
       343.0000      1226.66052      1309.42322 
       344.0000      1226.73718      1309.57556 
       345.0000      1226.81360      1309.72803 
       346.0000      1226.89050      1309.88037 
       347.0000      1226.96741      1310.03284 
       348.0000      1227.04456      1310.18518 
       349.0000      1227.12183      1310.33765 
       350.0000      1227.19897      1310.48999 
       351.0000      1227.27661      1310.64246 
       352.0000      1227.35339      1310.79480 
       353.0000      1227.43005      1310.94714 
       354.0000      1227.50598      1311.09961 
       355.0000      1227.58154      1311.25195 
       356.0000      1227.65698      1311.40442 
       357.0000      1227.73267      1311.55676 
       358.0000      1227.80896      1311.70923 
       359.0000      1227.88562      1311.86157 
       360.0000      1227.96252      1312.01404 
       361.0000      1228.03967      1312.16638 
       362.0000      1228.11633      1312.31885 
       363.0000      1228.19324      1312.47119 
       364.0000      1228.26978      1312.62366 
       365.0000      1228.34631      1312.77600 
       366.0000      1228.42261      1312.92834 
       367.0000      1228.49866      1313.08081 
       368.0000      1228.57458      1313.23315 
       369.0000      1228.65039      1313.38562 
       370.0000      1228.72583      1313.53796 
       371.0000      1228.80078      1313.69043 
       372.0000      1228.87500      1313.84277 
       373.0000      1228.94934      1313.99524 
       374.0000      1229.02344      1314.14758 
       375.0000      1229.09753      1314.30005 
       376.0000      1229.17151      1314.45239 
       377.0000      1229.24548      1314.60486 
       378.0000      1229.31982      1314.75720 
       379.0000      1229.39355      1314.90955 
       380.0000      1229.46777      1315.06201 
       381.0000      1229.54199      1315.21436 
       382.0000      1229.61621      1315.36682 
       383.0000      1229.69067      1315.51917 
       384.0000      1229.76562      1315.67163 
       385.0000      1229.84058      1315.82397 
       386.0000      1229.91602      1315.97644 
       387.0000      1229.99182      1316.12878 
       388.0000      1230.06738      1316.28125 
       389.0000      1230.14343      1316.43359 
       390.0000      1230.21960      1316.58606 
       391.0000      1230.29553      1316.73840 
       392.0000      1230.37134      1316.89075 
       393.0000      1230.44641      1317.04321 
       394.0000      1230.51917      1317.19556 
       395.0000      1230.58875      1317.34802 
       396.0000      1230.65601      1317.50037 
       397.0000      1230.72131      1317.65283 
       398.0000      1230.78796      1317.80518 
       399.0000      1230.85718      1317.95764 
       400.0000      1230.92981      1318.10999 
       401.0000      1231.00549      1318.26245 
       402.0000      1231.08154      1318.41479 
       403.0000      1231.15796      1318.56726 
       404.0000      1231.23425      1318.71960 
       405.0000      1231.31055      1318.87195 
       406.0000      1231.38721      1319.02441 
       407.0000      1231.46313      1319.17676 
       408.0000      1231.53943      1319.32922 
       409.0000      1231.61658      1319.48157 
       410.0000      1231.69519      1319.63403 
       411.0000      1231.77515      1319.78638 
       412.0000      1231.85535      1319.93884 
       413.0000      1231.93518      1320.09119 
       414.0000      1232.01355      1320.24365 
       415.0000      1232.09143      1320.39600 
       416.0000      1232.17041      1320.54846 
       417.0000      1232.25342      1320.70081 
       418.0000      1232.34155      1320.85315 
       419.0000      1232.43518      1321.00562 
       420.0000      1232.53528      1321.15796 
       421.0000      1232.63904      1321.31042 
       422.0000      1232.74402      1321.46277 
       423.0000      1232.85010      1321.61523 
       424.0000      1232.95703      1321.76758 
       425.0000      1233.06433      1321.92004 
       426.0000      1233.17126      1322.07239 
       427.0000      1233.27625      1322.22485 
       428.0000      1233.37939      1322.37720 
       429.0000      1233.48157      1322.52954 
       430.0000      1233.58459      1322.68201 
       431.0000      1233.68787      1322.83435 
       432.0000      1233.79163      1322.98682 
       433.0000      1233.89355      1323.13916 
       434.0000      1233.99341      1323.29163 
       435.0000      1234.09131      1323.44397 
       436.0000      1234.18787      1323.59644 
       437.0000      1234.28369      1323.74878 
       438.0000      1234.37854      1323.90125 
       439.0000      1234.47339      1324.05359 
       440.0000      1234.56738      1324.20605 
       441.0000      1234.66028      1324.35840 
       442.0000      1234.75244      1324.51074 
       443.0000      1234.84277      1324.66321 
       444.0000      1234.93091      1324.81555 
       445.0000      1235.01770      1324.96802 
       446.0000      1235.10547      1325.12036 
       447.0000      1235.19470      1325.27283 
       448.0000      1235.28540      1325.42517 
       449.0000      1235.37659      1325.57764 
       450.0000      1235.46765      1325.72998 
       451.0000      1235.55823      1325.88245 
       452.0000      1235.64795      1326.03479 
       453.0000      1235.73596      1326.18726 
       454.0000      1235.82227      1326.33960 
       455.0000      1235.90808      1326.49194 
       456.0000      1235.99329      1326.64441 
       457.0000      1236.07898      1326.79675 
       458.0000      1236.16541      1326.94922 
       459.0000      1236.25293      1327.10156 
       460.0000      1236.34131      1327.25403 
       461.0000      1236.43005      1327.40637 
       462.0000      1236.51868      1327.55884 
       463.0000      1236.60583      1327.71118 
       464.0000      1236.69250      1327.86365 
       465.0000      1236.77893      1328.01599 
       466.0000      1236.86621      1328.16846 
       467.0000      1236.95398      1328.32080 
       468.0000      1237.04236      1328.47314 
       469.0000      1237.13062      1328.62561 
       470.0000      1237.21863      1328.77795 
       471.0000      1237.30603      1328.93042 
       472.0000      1237.39282      1329.08276 
       473.0000      1237.47778      1329.23523 
       474.0000      1237.56238      1329.38757 
       475.0000      1237.64624      1329.54004 
       476.0000      1237.72937      1329.69238 
       477.0000      1237.81165      1329.84485 
       478.0000      1237.89380      1329.99719 
       479.0000      1237.97656      1330.14966 
       480.0000      1238.06042      1330.30200 
       481.0000      1238.14587      1330.45435 
       482.0000      1238.23230      1330.60681 
       483.0000      1238.31934      1330.75916 
       484.0000      1238.40637      1330.91162 
       485.0000      1238.49243      1331.06396 
       486.0000      1238.57690      1331.21643 
       487.0000      1238.66101      1331.36877 
       488.0000      1238.74524      1331.52124 
       489.0000      1238.83093      1331.67358 
       490.0000      1238.91797      1331.82605 
       491.0000      1239.00562      1331.97839 
       492.0000      1239.09265      1332.13086 
       493.0000      1239.17908      1332.28320 
       494.0000      1239.26404      1332.43555 
       495.0000      1239.34790      1332.58801 
       496.0000      1239.43103      1332.74036 
       497.0000      1239.51379      1332.89282 
       498.0000      1239.59558      1333.04517 
       499.0000      1239.67725      1333.19763 
       500.0000      1239.75964      1333.34998 
       501.0000      1239.84302      1333.50244 
       502.0000      1239.92761      1333.65479 
       503.0000      1240.01282      1333.80725 
       504.0000      1240.09668      1333.95959 
       505.0000      1240.17810      1334.11206 
       506.0000      1240.25769      1334.26440 
       507.0000      1240.33618      1334.41675 
       508.0000      1240.41455      1334.56921 
       509.0000      1240.49268      1334.72156 
       510.0000      1240.57068      1334.87402 
       511.0000      1240.64709      1335.02637 
       512.0000      1240.72205      1335.17883 
       513.0000      1240.79639      1335.33118 
       514.0000      1240.87134      1335.48364 
       515.0000      1240.94653      1335.63599 
       516.0000      1241.02209      1335.78845 
       517.0000      1241.09814      1335.94080 
       518.0000      1241.17444      1336.09326 
       519.0000      1241.25037      1336.24561 
       520.0000      1241.32605      1336.39795 
       521.0000      1241.40198      1336.55042 
       522.0000      1241.47778      1336.70276 
       523.0000      1241.55396      1336.85522 
       524.0000      1241.62988      1337.00757 
       525.0000      1241.70618      1337.16003 
       526.0000      1241.78247      1337.31238 
       527.0000      1241.85840      1337.46484 
       528.0000      1241.93469      1337.61719 
       529.0000      1242.01086      1337.76965 
       530.0000      1242.08752      1337.92200 
       531.0000      1242.16455      1338.07434 
