   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;2 [   
                2 [A105671]     A105669]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       593.69983       658.74542 
         2.0000       593.75635       658.89783 
         3.0000       593.81305       659.05023 
         4.0000       593.86957       659.20264 
         5.0000       593.92615       659.35504 
         6.0000       593.98254       659.50745 
         7.0000       594.03894       659.65979 
         8.0000       594.09528       659.81219 
         9.0000       594.15167       659.96460 
        10.0000       594.20801       660.11700 
        11.0000       594.26440       660.26941 
        12.0000       594.32062       660.42181 
        13.0000       594.37683       660.57422 
        14.0000       594.43286       660.72662 
        15.0000       594.48901       660.87903 
        16.0000       594.54553       661.03143 
        17.0000       594.60449       661.18384 
        18.0000       594.67035       661.33624 
        19.0000       594.74060       661.48865 
        20.0000       594.81024       661.64099 
        21.0000       594.87518       661.79340 
        22.0000       594.93262       661.94580 
        23.0000       594.98486       662.09821 
        24.0000       595.03815       662.25061 
        25.0000       595.09485       662.40302 
        26.0000       595.15491       662.55542 
        27.0000       595.21857       662.70782 
        28.0000       595.28534       662.86023 
        29.0000       595.35608       663.01263 
        30.0000       595.43060       663.16504 
        31.0000       595.50549       663.31744 
        32.0000       595.57672       663.46979 
        33.0000       595.64166       663.62219 
        34.0000       595.70215       663.77460 
        35.0000       595.76965       663.92700 
        36.0000       595.85333       664.07941 
        37.0000       595.95209       664.23181 
        38.0000       596.06165       664.38422 
        39.0000       596.16803       664.53662 
        40.0000       596.25873       664.68903 
        41.0000       596.33344       664.84143 
        42.0000       596.39526       664.99384 
        43.0000       596.45007       665.14624 
        44.0000       596.50342       665.29865 
        45.0000       596.55890       665.45099 
        46.0000       596.62164       665.60339 
        47.0000       596.69153       665.75580 
        48.0000       596.76398       665.90820 
        49.0000       596.83575       666.06061 
        50.0000       596.90192       666.21301 
        51.0000       596.96399       666.36542 
        52.0000       597.02802       666.51782 
        53.0000       597.09436       666.67023 
        54.0000       597.16101       666.82263 
        55.0000       597.22632       666.97504 
        56.0000       597.29871       667.12744 
        57.0000       597.38373       667.27985 
        58.0000       597.47467       667.43219 
        59.0000       597.56598       667.58459 
        60.0000       597.64972       667.73700 
        61.0000       597.72058       667.88940 
