   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                4 [A107323]     A107321]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       656.82117       700.26343 
         2.0000       656.89667       700.41583 
         3.0000       656.98291       700.56824 
         4.0000       657.07428       700.72064 
         5.0000       657.16571       700.87305 
         6.0000       657.25562       701.02545 
         7.0000       657.34375       701.17780 
         8.0000       657.43671       701.33020 
         9.0000       657.53809       701.48260 
        10.0000       657.64380       701.63501 
        11.0000       657.75214       701.78741 
        12.0000       657.86377       701.93982 
        13.0000       657.97644       702.09222 
        14.0000       658.08655       702.24463 
        15.0000       658.19623       702.39703 
        16.0000       658.31244       702.54944 
        17.0000       658.43927       702.70184 
        18.0000       658.58038       702.85425 
        19.0000       658.73413       703.00665 
        20.0000       658.89215       703.15900 
        21.0000       659.05060       703.31140 
        22.0000       659.20459       703.46381 
        23.0000       659.34680       703.61621 
        24.0000       659.47534       703.76862 
        25.0000       659.59460       703.92102 
        26.0000       659.71002       704.07343 
        27.0000       659.82806       704.22583 
        28.0000       659.94952       704.37823 
        29.0000       660.07251       704.53064 
        30.0000       660.19830       704.68304 
        31.0000       660.32849       704.83545 
        32.0000       660.46356       704.98779 
        33.0000       660.60193       705.14020 
        34.0000       660.74152       705.29260 
        35.0000       660.88251       705.44501 
        36.0000       661.02441       705.59741 
        37.0000       661.16510       705.74982 
        38.0000       661.30383       705.90222 
        39.0000       661.44110       706.05463 
        40.0000       661.57745       706.20703 
        41.0000       661.71259       706.35944 
        42.0000       661.84583       706.51184 
        43.0000       661.97809       706.66425 
        44.0000       662.11072       706.81665 
        45.0000       662.24518       706.96899 
        46.0000       662.38226       707.12140 
        47.0000       662.52063       707.27380 
        48.0000       662.65820       707.42621 
        49.0000       662.79205       707.57861 
        50.0000       662.91779       707.73102 
        51.0000       663.03485       707.88342 
        52.0000       663.14777       708.03583 
        53.0000       663.25989       708.18823 
        54.0000       663.37634       708.34064 
        55.0000       663.49878       708.49304 
        56.0000       663.62463       708.64545 
        57.0000       663.75354       708.79785 
        58.0000       663.88574       708.95020 
        59.0000       664.01984       709.10260 
        60.0000       664.15381       709.25500 
        61.0000       664.28693       709.40741 
