well_no,bottom_depth,top_depth,is_reservoir,reservoir_no,差值
CB30,2609.0,2625.5,1,1,136.5999999999999
CB30,2762.1,2775.4,1,2,-3.0
CB30,2772.4,2790.5,1,3,6.300000000000182
CB30,2796.8,2861.3,0,4,115.0
CB30,2976.3,3029.0,1,5,36.51999999999998
CB30,3065.52,3224.84,1,6,115.35999999999967
CB30,3340.2,3542.0,1,7,0
CB8,2906.5,2913.4,1,1,118.0
CB8,3031.4,3051.2,1,2,159.80000000000018
CB8,3211.0,3303.3,1,3,0
SHH3,1355.5,1358.5,1,1,0
CB326,3348.0,3354.0,1,1,135.0
CB326,3489.0,3502.0,1,2,0
CB604,2171.8,2174.5,0,1,321.73
CB604,2496.23,2514.09,0,2,-17.860000000000127
CB604,2496.23,2540.0,0,3,0
CB246,1403.9,1412.9,1,1,118.19999999999982
CB246,1531.1,1542.0,1,2,0
CBG403,2748.27,2898.41,1,1,-150.13999999999987
CBG403,2748.27,2770.9,1,2,-22.63000000000011
CBG403,2748.27,2769.0,1,3,0
CB203,0.0,0.0,0,1,0
SHH10,3425.4,3430.9,1,1,134.0999999999999
SHH10,3565.0,3577.0,1,2,104.09999999999991
SHH10,3681.1,3761.0,1,3,-24.59999999999991
SHH10,3736.4,3761.0,1,4,0
CB40,3416.0,3437.0,0,1,687.0
CB40,4124.0,4236.0,1,2,0
SHH202,1332.9,1335.8,1,1,16.40000000000009
SHH202,1352.2,1371.8,1,2,0
CB327,1774.5,1779.0,1,1,1633.6
CB327,3412.6,3418.5,1,2,3.599999999999909
CB327,3422.1,3430.0,1,3,321.0
CB327,3751.0,3754.0,1,4,0
CB603,2356.74,2390.0,0,1,0
CB260,1158.6,1172.6,1,1,0
CB241,1170.1,1182.2,1,1,61.799999999999955
CB241,1244.0,1257.5,1,2,35.5
CB241,1293.0,1302.0,1,3,154.5
CB241,1456.5,1461.5,1,4,0
CBG4,2978.4,2990.0,1,1,74.69999999999982
CBG4,3064.7,3070.3,1,2,143.01999999999998
CBG4,3213.32,3360.83,1,3,0
